stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,liver,mesenchyme,mural_cell,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,5.26,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,6.29,9.44,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,1.96,0,1.96,0,0,0
 72-82,0,0,1.96,0,0,0,1.96,0.98,0.98,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,3.19,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,2.19,0,0,4.37,0,1.09,0,2.19,0,0,0
108-118,0,0,0,0,0,0,3.83,0.77,1.53,0,0.77,0,0,0.77
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
