stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,508.76,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,7.89,5.26,13.14,0,0,0,18.4,0,0,0,0,7.89,0,0,0,0,0,0,0,144.58,10.51,0,55.2,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,28.32,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,59,0,1,0,0,1,2,2,0,0,0
 24-34,0,0,0,0.82,0,0,22.98,0,0.82,0.82,0,0,0.82,0,0,0,0,1.64,0,11.49,34.48,1.64,0,0,0,0,0,7.39,0,0,0
 36-46,0,0,0,0,0,0,32.23,0,0,0,0,0,0,0,0,0,0.81,0,0,16.92,22.56,3.22,0,0,0,0,0,4.03,0,1.61,0
 48-58,0,0,0,1.15,0,0,17.21,0,0,0,0,4.02,3.44,0,0,0,0,2.3,0,15.49,9.18,1.15,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,14.72,0,0,0,0,2.94,5.89,0.98,0,0,0,0,0,10.8,6.87,5.89,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,0,11.78,0,0,1.96,0,0,8.83,0.98,2.94,0,0,0,0,11.78,3.93,19.63,0,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,0,0,9.56,0,0,2.12,1.06,2.12,10.62,0,3.19,0,0,3.19,0,3.19,7.43,24.43,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,5.46,1.09,0,8.74,0,0,9.84,0,4.37,1.09,0,0,0,18.58,8.74,31.69,0,1.09,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,0,0.77,5.36,0,0,8.43,0,0,9.19,0.77,3.83,0,0,2.3,0.77,12.26,7.66,29.11,0,0.77,0,0,0,0.77,0.77,2.3,0.77
120,0,0,0,1.96,0,0,3.92,0,0,7.84,0,0,9.8,0,1.96,0,0,1.96,0,29.4,9.8,31.36,0,1.96,0,0,0,0,1.96,0,0
