stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,2
 24-34,0,0,0.82,19.7,0,0,0.82,0.82,4.1,0.82,0,0.82,1.64
 36-46,0,0,0,24.98,0,0,0,0,4.03,0,0,0.81,0.81
 48-58,0,0,0,20.08,0.57,0,0,0,3.44,0.57,0,0,2.87
 60-70,0,0,0.98,15.7,0,0,1.96,0,10.8,0,0,0.98,2.94
 72-82,0,0.98,0,19.63,0,0,0,0,6.87,0,0.98,0.98,0
 84-94,0,0,0,19.12,0,1.06,0,0,2.12,0,0,0,0
 96-106,0,0,0,6.56,0,0,0,0,6.56,0,0,0,0
108-118,0,0,0,7.66,0,0,0,0,3.83,0.77,0,0,0
120,0,0,0,7.84,0,0,0,0,1.96,0,0,0,1.96
