stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,6,23,0,0,1,0,0,0,40,4,0,0,0,3,0,0,0,0,0,0,0,0,34,2,4,39,0,2,1,24,0,1,105,0,0,0,0,0
 24-34,0,0,0.82,3.28,3.28,0.82,0,1.64,0,0,0,29.55,1.64,0,0,0,0,0,5.75,0.82,0,2.46,0,0,0,23.8,0,8.21,20.52,0,0,0,3.28,0,0,75.52,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,3.22,0,0,0,20.95,0,0,0,0,0,0,4.03,1.61,0,0.81,0.81,0,0,37.06,0,4.83,24.98,0,0.81,0,0.81,0,0,87.82,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,9.18,0,0,0,30.99,0,0,0,0,0,0,10.33,1.15,0,4.02,0,0,1.15,70,0.57,3.44,23.53,0,1.15,0,1.15,0,0,121.07,0,0,0,0,1.15
 60-70,0,0,0.98,0,1.96,0,0,5.89,0,0,0,79.5,0.98,0,0,0,0,0.98,3.93,0.98,0,10.8,0,0,0.98,63.8,0,0,30.43,0,1.96,0,1.96,0,0,80.48,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,7.85,0.98,0,21.6,0.98,0.98,1.96,268.98,1.96,0.98,0,2.94,0,3.93,12.76,0,0,33.38,0,0,0,81.48,0,5.89,88.35,0,1.96,0,0,0,0,97.18,0.98,2.94,1.96,0,0
 84-94,0,0,0,0,5.31,1.06,0,15.93,0,0,0,228.34,7.43,0,0,0,0,9.56,16.99,1.06,0,20.18,0,2.12,1.06,62.66,0,6.37,96.65,0,2.12,0,1.06,0,0,82.84,1.06,1.06,1.06,1.06,0
 96-106,0,0,1.09,0,21.86,3.28,0,19.67,0,4.37,0,278.68,5.46,0,0,1.09,3.28,12.02,22.95,2.19,1.09,31.69,2.19,1.09,1.09,55.74,2.19,13.11,150.81,0,9.84,0,1.09,0,0,106.01,5.46,1.09,4.37,0,0
108-118,0,0,1.53,2.3,15.32,0.77,0,7.66,0,1.53,0.77,261.96,10.72,0,0,0.77,1.53,25.28,22.98,1.53,0,25.28,3.06,0,1.53,62.04,0,6.13,168.51,0,0,0,0.77,0.77,0,64.34,6.13,0.77,1.53,0,0
120,1.96,0,0,0,17.64,1.96,1.96,9.8,0,5.88,0,227.34,5.88,0,1.96,1.96,1.96,17.64,11.76,5.88,0,31.36,0,1.96,0,54.87,0,1.96,119.55,0,1.96,0,5.88,0,0,68.59,9.8,0,0,0,0
