stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,1,1,0,0,0
 24-34,0,0,10.67,2.46,0.82,0,0,0,0,0,0,0,0.82,0,0,0,11.49,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,4.83,1.61,0,0,0.81,1.61,0,0,0,0,4.03,0,0.81,0.81,15.31,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,4.02,4.02,0.57,1.15,0,0.57,0,0,0,0,11.48,0,2.87,0,8.61,0,0,0,0,0,0.57,0,0,2.87
 60-70,0,0,3.93,26.5,0,0.98,0,1.96,0,0,0,0,25.52,0,5.89,0.98,13.74,0,0,0,0,0,0.98,3.93,0.98,0
 72-82,0,0,2.94,26.5,0,0.98,0.98,0.98,0.98,0,0,0,49.08,0,3.93,0.98,20.61,0,0,2.94,0,0,0,10.8,3.93,0
 84-94,0,0,9.56,22.3,1.06,1.06,0,1.06,1.06,1.06,1.06,0,43.54,0,6.37,1.06,15.93,0,0,1.06,0,0,0,13.81,4.25,0
 96-106,0,0,10.93,34.97,0,0,0,2.19,0,0,0,0,56.83,0,5.46,1.09,22.95,0,0,2.19,0,0,0,17.49,14.21,0
108-118,0,0,5.36,18.38,0,1.53,0,3.83,0.77,0,0,0,67.4,0.77,3.83,0,22.21,0,0,3.83,0,0,0,12.26,6.13,2.3
120,0,0,11.76,15.68,0,3.92,0,5.88,1.96,0,0,1.96,47.03,0,1.96,1.96,23.52,0,0,0,0,0,1.96,3.92,3.92,0
