stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,67.43,821.37,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,24.52,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,0,18.4,0,0,0,42.06,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,312.82,15.77,0,0,155.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,3.15,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,223.43,22.03,0,0,122.73,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,26,0,0,0,2,0,0,1,0,4,12,0,0,0,0,0
 24-34,0,0,0,0,4.1,2.46,0,22.98,0,0,0,4.1,0.82,0,0.82,1.64,0,0,0,0.82,0,30.37,0,0,13.13,193.72,1.64,0.82,1.64,0,0,0.82,0,0.82,3.28,54.18,0,0,9.85,0,0
 36-46,0,0,0,0,1.61,0.81,0,45.92,0,0,2.42,5.64,0.81,0,0.81,0.81,0,0.81,0,0,0,36.26,0,0,14.5,238.48,2.42,3.22,0,0,0.81,1.61,0,0,0,65.26,0,0,3.22,0,0
 48-58,0,0,0,0,3.44,0.57,0,110.17,0,0,2.3,26.97,0,0,1.15,1.72,0,0.57,0,0,2.87,74.02,0,1.72,10.9,293.79,0,3.44,0.57,0,0,0.57,0,0,0,59.68,0,0,5.16,0,4.02
 60-70,0,0,0,0,5.89,0,0,100.12,0.98,0,0.98,42.21,0.98,0,0.98,5.89,0,0.98,0,0,0,90.3,0,3.93,3.93,285.62,0.98,5.89,1.96,0,0.98,0,0,0,0,36.32,0,2.94,8.83,1.96,1.96
 72-82,0,0,3.93,0.98,3.93,7.85,0,207.13,0.98,0,5.89,87.37,0.98,0,3.93,10.8,0.98,0,3.93,0.98,5.89,178.66,0,10.8,15.71,432.91,0.98,9.82,5.89,0,0.98,0,0,1.96,0,42.21,0.98,2.94,24.54,2.94,2.94
 84-94,0,0,0,0,11.68,12.74,0,140.19,2.12,0,4.25,49.92,3.19,0,2.12,11.68,0,4.25,2.12,2.12,7.43,109.39,0,9.56,6.37,174.17,2.12,7.43,6.37,0,0,2.12,0,1.06,0,29.74,1.06,3.19,20.18,2.12,3.19
 96-106,0,0,2.19,0,16.39,10.93,0,109.28,1.09,3.28,4.37,65.57,4.37,0,5.46,28.41,0,5.46,4.37,0,6.56,143.16,1.09,6.56,16.39,151.91,2.19,7.65,7.65,0,2.19,4.37,0,2.19,0,15.3,0,10.93,21.86,6.56,9.84
108-118,0,0,0.77,0,13.79,9.96,1.53,74.3,0.77,1.53,3.06,49.79,0.77,0,3.83,17.62,0.77,18.38,2.3,0,3.06,88.09,0,6.13,8.43,150.89,3.06,2.3,5.36,0,2.3,2.3,0,0.77,0,6.89,1.53,6.13,16.85,3.83,9.96
120,1.96,0,0,0,7.84,7.84,0,64.67,1.96,0,1.96,66.63,1.96,1.96,3.92,21.56,0,5.88,0,0,1.96,76.43,0,3.92,9.8,143.06,0,7.84,9.8,0,3.92,1.96,0,3.92,0,7.84,0,1.96,23.52,1.96,7.84
