stage,epidermis,eye,fin_epithelia,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,0,23.8,0.82,0,0
 36-46,0.81,0,0,0,0,0,0.81,0,0,1.61,0,12.89,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,8.61,0,0.57,0
 60-70,0.98,0.98,0,0,0,0,0.98,0,0.98,0.98,0,15.7,0,0,0
 72-82,1.96,1.96,0,0,1.96,1.96,0,0,0,0,0,11.78,0,0,0
 84-94,0,1.06,1.06,0,2.12,2.12,0,0,1.06,0,0,43.54,1.06,0,2.12
 96-106,4.37,0,1.09,2.19,3.28,1.09,0,0,1.09,2.19,0,27.32,0,0,0
108-118,6.89,1.53,0,0.77,0.77,0.77,0,3.06,1.53,0,0.77,20.68,2.3,0,1.53
120,13.72,0,1.96,0,1.96,0,0,0,3.92,0,0,33.32,0,0,3.92
