stage,axial,blastomeres,endoderm,epidermis,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,31.54,0,15.77,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,18.88,0,15.73,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,6,0,1,0,3,0
 24-34,0,0,0,0,0,0,0.82,0,2.46,0,1.64,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,3.22,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,1.15,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
