stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,6,0,0,0,0,1,0,0,0,8,1,0,0,0,2,2,0,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,1
 24-34,0,0,0,1.64,1.64,0,0,0,0,1.64,0.82,0,0,23.8,0.82,0,0,0,0,3.28,0,0,5.75,5.75,0.82,0,0,0,0,0,0,0,4.93,0,4.93,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0,0,37.06,0,4.83,0,0.81,0,5.64,0.81,0,3.22,4.83,0,0,0,0,0,0,0,0,4.03,0,1.61,0,1.61
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,39.59,0,2.87,0.57,0,0,4.02,1.15,0,1.72,2.3,0,0.57,0,0,0,0,0,0.57,6.31,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,3.93,0,0,0,1.96,1.96,0,0,63.8,0,6.87,0,0,0,4.91,0.98,0,0.98,3.93,0,0,1.96,0,0,0,0,0.98,1.96,0,0.98,0,0.98
 72-82,0,0,0.98,0,0,4.91,0,0.98,0,5.89,8.83,2.94,0,78.53,0,2.94,0,0,0,9.82,2.94,0,4.91,10.8,0,0.98,4.91,0.98,0.98,0,0,0.98,2.94,1.96,2.94,0,0
 84-94,0,0,1.06,1.06,0,2.12,1.06,0,0,3.19,20.18,3.19,0,98.77,0,9.56,1.06,1.06,0,4.25,0,0,2.12,3.19,0,0,8.5,0,0,0,2.12,0,1.06,0,6.37,0,0
 96-106,0,0,2.19,3.28,1.09,1.09,0,1.09,0,7.65,18.58,0,1.09,126.77,0,3.28,0,1.09,0,5.46,0,1.09,4.37,7.65,1.09,1.09,6.56,0,0,3.28,2.19,0,0,0,7.65,1.09,0
108-118,0,0,0.77,3.06,0.77,2.3,0,0,0.77,1.53,29.11,0,0,98.04,0,3.83,0,1.53,0,5.36,3.06,0,1.53,4.6,0,1.53,2.3,0,0,0,2.3,0,1.53,0,3.06,0,0
120,0,0,0,5.88,0,3.92,0,1.96,0,1.96,13.72,0,0,84.27,0,7.84,1.96,1.96,0,3.92,0,0,1.96,7.84,1.96,0,1.96,0,0,0,0,0,1.96,0,7.84,0,0
