stage,blastomeres,epidermis,eye,fin_epithelia,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,4,1,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,1.61,0,0,0,0
 48-58,0,0.57,0,0,0.57,0,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,7.85,0,0,0,0.98
 72-82,0,0.98,0,0,0,0,0.98,1.96,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,4.25,1.06,0,0,0,0,0,0,1.06,0,0,0,15.93,0,0,0,0
 96-106,0,8.74,0,1.09,0,0,1.09,0,0,1.09,0,0,0,21.86,0,0,0,2.19
108-118,0,2.3,0,0,0,0,0.77,0,0,1.53,0,1.53,0,9.19,0,0,0,0
120,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,7.84,0,0,0,0
