stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0
 24-34,4.1,0,1.64,0,0.82,0,0.82,0.82,0,0,2.46,0,0,1.64,16.42,0,3.28,0,0,2.46,0,0,0,0
 36-46,0.81,0,0.81,0,0,1.61,0.81,0,0,0,2.42,0,0,0.81,16.11,0,3.22,0,0,1.61,0,0,0,0
 48-58,0,0,2.87,0,0,0,0.57,0,0,0,2.3,0,0.57,1.15,14.92,0,2.3,0,0,2.3,0,0,0,0
 60-70,0,0,4.91,0,0,1.96,0,0,0,0,6.87,0,0.98,0.98,26.5,0,0.98,0,0,0.98,0,0,0,0
 72-82,2.94,0,8.83,0,0,3.93,0,0,0.98,0,16.69,0,0.98,3.93,37.3,0,0.98,0,0,2.94,0,0.98,0,0
 84-94,2.12,0,8.5,0,0,5.31,0,0,0,1.06,10.62,0,0,0,24.43,1.06,2.12,0,0,0,0,0,0,0
 96-106,1.09,1.09,7.65,0,0,0,1.09,0,0,1.09,8.74,0,1.09,1.09,33.88,0,6.56,0,0,0,0,0,1.09,0
108-118,1.53,0,12.26,0,0,3.06,0,0,0,0.77,5.36,0,0,0,19.15,0,3.83,0,0,0,0.77,0,0,0.77
120,1.96,0,9.8,1.96,0,13.72,0,0,0,7.84,5.88,1.96,0,1.96,31.36,1.96,1.96,0,0,1.96,0,0,0,0
