stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,331,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,15.77,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,128.81,2.63,0,0,60.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,75.53,0,3.15,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,5,59,2,0,3,1,2,0,12,1,3,20,0,2,0,0
 24-34,0,0,0,0,2.46,0,18.06,0,0,0,0.82,1.64,0,0,0,1.64,0,0,8.21,0,2.46,150.22,0,1.64,1.64,0,4.1,0,0,0,0.82,32.01,0,0,0,0.82
 36-46,0,0,0,0,2.42,0,17.72,0.81,0,1.61,8.06,0,0,0.81,0,0,0,0,12.89,0.81,1.61,95.07,0,0,1.61,0,2.42,0,0,0,0,20.95,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,36.72,0,0,0.57,8.03,0,0,0,0,0.57,1.15,0,17.79,0,2.3,78.61,0.57,0.57,0,0,1.72,0,0,0,0,15.49,0,0,0,0
 60-70,0,0,0,0,0.98,0,36.32,0,0,0.98,6.87,0,0,0,0,0,0.98,0,9.82,0.98,0,58.89,0,0,0,0,0.98,0,0,0.98,0,8.83,0,0,0,0
 72-82,0,0,0.98,0,7.85,0,30.43,0,0.98,1.96,12.76,0,0,2.94,0.98,0,0,0.98,26.5,1.96,0.98,58.9,0,2.94,0.98,0,1.96,0,0,0,0,4.91,0,2.94,1.96,0.98
 84-94,0,0,1.06,0,5.31,0,29.74,0,0,3.19,8.5,0,0,0,3.19,0,0,2.12,13.81,1.06,0,29.74,0,0,1.06,0,4.25,0,0,1.06,0,5.31,1.06,3.19,0,0
 96-106,0,0,2.19,0,2.19,1.09,12.02,0,1.09,0,4.37,0,0,1.09,2.19,0,1.09,1.09,18.58,0,1.09,34.97,0,3.28,2.19,0,3.28,0,0,0,0,4.37,0,4.37,0,0
108-118,0,0,0,0,3.06,0,8.43,0,0,0,9.19,0,0,0,1.53,0.77,0.77,1.53,10.72,0.77,2.3,32.17,0,0,0.77,0,3.83,0,0,0,0,1.53,0.77,0,0,1.53
120,0,0,0,0,3.92,0,5.88,0,0,0,11.76,0,0,0,0,0,0,0,9.8,0,3.92,41.16,0,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,0
