stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,110.41,0,0,0,28.92,2.63,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,37.76,0,0,6.29,0,0,0,0
 14-21,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,1,0,4,1,0,6,5,0
 24-34,0,0,0,1.64,0.82,1.64,0.82,0,1.64,0,0,0,1.64,0,0.82,0,0.82,4.93,0,0,0,0,1.64,0,0,0,0,2.46,0
 36-46,0,0,0,3.22,0,4.03,0,0,0,0,0,0,0,0,4.83,0,0.81,8.86,0,0,0.81,0,2.42,0,0,0.81,0,3.22,0
 48-58,0,0,0,1.72,0,2.3,0.57,0,0,0,0.57,0,0,0.57,1.72,0,0,3.44,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,5.89,1.96,0,0.98,0,0,0,0.98,0,1.96,0,0.98,3.93,0.98,0,0,0,5.89,0,0.98,0,0,2.94,0
 72-82,0,0,0,0.98,1.96,4.91,0,0.98,0.98,0,0,0,0.98,0,1.96,0,0,5.89,0,0,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,1.06,2.12,1.06,1.06,0,0,0,0,0,0,0,2.12,0,0,2.12,0,1.06,1.06,0,8.5,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,0,2.19,0,0,0,1.09,0,4.37,1.09,0,3.28,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,3.06,1.53,0.77,0.77,0,0.77,0,0,0,0,0,2.3,0.77,0.77,2.3,0,0,0,0,6.13,0,0,0,0,0,0.77
120,0,0,0,13.72,0,1.96,1.96,0,0,0,0,1.96,1.96,0,1.96,0,0,7.84,0,0,0,0,13.72,0,0,0,0,0,0
