stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,1,0,2,6,5,7,0,0,4,4,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,0.82,0,3.28,0,0,0,5.75,0,14.78,0.82,57.46,12.31,0,0,0.82,20.52,0,0,0,0,0,0,2.46,0,0,1.64,20.52
 36-46,0,0,0,0,2.42,0,0,0,3.22,0,36.26,0,62.84,8.86,0,0,1.61,17.72,0,0,0,0.81,0,0.81,0.81,0,0,5.64,29.81
 48-58,0,0,0,0,1.72,0,0.57,0,0.57,0,40.17,0,41.89,17.79,0,0.57,1.15,13.77,0,0,0,0,0,0,0.57,0,0.57,7.46,4.02
 60-70,0,0,3.93,0,3.93,0,1.96,0,5.89,0,62.82,0,20.61,59.87,0,1.96,0.98,14.72,0,0,0,0,0,0.98,0.98,0.98,0,4.91,2.94
 72-82,0,0,0,0,6.87,0,5.89,0,4.91,0,63.81,0,24.54,94.24,0,0.98,0,23.56,0,0.98,0,0,0,0,0,0,0.98,7.85,1.96
 84-94,0,0,2.12,0,5.31,0,0,0,1.06,0,101.96,1.06,30.8,101.96,0,1.06,0,11.68,0,0,0,0,0,0,0,0,0,9.56,3.19
 96-106,0,1.09,4.37,1.09,7.65,1.09,2.19,0,9.84,1.09,106.01,1.09,24.04,67.76,1.09,0,0,13.11,1.09,1.09,0,0,1.09,0,1.09,0,1.09,22.95,1.09
108-118,0,0,3.06,3.06,3.06,0,0.77,0,0,0,160.85,0,37.53,54.38,0,0,0,15.32,0,0,0,0,0.77,0,0,0.77,2.3,19.92,0
120,0,0,3.92,0,3.92,0,1.96,0,1.96,0,123.47,0,7.84,31.36,0,0,0,5.88,0,0,0,0,0,0,0,0,0,13.72,3.92
