stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,18.06,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,30.62,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,36.72,0,0.57,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,20.61,0,1.96,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,2.94,1.96,38.28,0,1.96,0,0.98,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,65.85,0,4.25,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,6.56,4.37,49.18,1.09,6.56,0,2.19,7.65,0,1.09,0,0,0
108-118,0,0,0,0,0,0,3.06,1.53,36,0,11.49,0,1.53,3.06,0,0,0,0,0
120,0,0,0,0,0,0,1.96,11.76,37.24,0,9.8,0,0,3.92,0,0,1.96,0,0
