stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,7.89,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,123.55,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,18.88,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,47.2,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0,0,0.82,0.82,0,0,0,0.82,2.46,0.82,0,9.03,0,0,0,0,0,4.1,0,1.64,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,2.3,2.3,0,0,0,0,0,0,0,0,0,0,1.15,0,0,10.9,0,0,0,0,0,0.57,0,0.57,0.57,1.72,0,0.57,0,0
 60-70,0,0,0,0,0,0,4.91,0.98,0,0.98,0.98,0,0,0,0,0,0,0.98,3.93,0,1.96,13.74,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0.98,0,0.98,4.91,0,0,3.93,0,0.98,0,0,0,2.94,0,0,0,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,3.19,0,1.06,0,4.25,0,0,0,1.06,0,1.06,0,3.19,0,0,2.12,0,0,0,0,0,1.06,0,2.12,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0.77,2.3,0.77,0,0.77,0.77,0,0,0,0,0,0,0,1.53,0,0,2.3,0,0,0,0,0,2.3,0,0.77,0.77,0,0,0,0,0
120,0,0,0,0,3.92,1.96,3.92,0,0,0,5.88,0,1.96,0,0,0,1.96,0,0,0,1.96,3.92,0,3.92,1.96,0,1.96,3.92,0,0,0,0,0,5.88,0,0
