stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,7.89,0,0,21.03,0,0,0,0,0,0,0,0,0,0,139.32,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,15.73,0,0,0,3.15,0,0,0,0,0,0,151.05,3.15,0,0,53.5,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,2,37,0,0,0,0,0,0,9,0,0,3,15,0,1,0,1
 24-34,0,0,0,0,0.82,0,4.93,0,1.64,0,0,0,0,5.75,0,0,5.75,73.06,0,2.46,0.82,0,0,0.82,0,0,0,0.82,18.88,0,0,0,0
 36-46,0,0,0,0,0,0,14.5,0,3.22,0,0,0,0,10.47,0,0,2.42,92.65,0,1.61,0,0,0,0,0,0,0.81,0,7.25,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,38.44,0,5.74,0,0,0,0,10.9,0,0,1.15,81.48,0,1.15,0.57,0,0.57,0,0,0.57,0,0,17.79,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,23.56,0.98,3.93,0,0,0,0.98,5.89,0,0,1.96,54.97,0,0.98,0,0,0,0.98,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,0,0,0,0,21.6,0,5.89,0,0,0,0,8.83,0.98,0.98,0.98,35.34,0,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0,0
 84-94,0,0,1.06,0,0,0,13.81,0,2.12,0,0,0,0,10.62,0,0,1.06,18.05,0,0,1.06,0,0,0,0,0,0,0,3.19,0,2.12,0,0
 96-106,0,0,0,0,0,0,13.11,0,3.28,2.19,0,0,0,2.19,0,0,1.09,21.86,0,2.19,0,0,0,3.28,0,0,0,0,1.09,1.09,0,1.09,0
108-118,0,0,0,0,0.77,0,11.49,1.53,2.3,0.77,0,0.77,0,3.06,0,0,1.53,23.74,0,3.83,0,0,0,0,0,0,0,0,2.3,0,1.53,0,0.77
120,0,0,0,0,0,0,11.76,0,0,0,0,0,0,1.96,0,0,0,13.72,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
