stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,6.31,1.15,0,0,0,0,0,0,0.57,1.72,0,0,0,0,0
 60-70,0,8.83,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,13.74,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,23.36,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,22.95,0,0,1.09,1.09,1.09,0,0,0,2.19,0,0,1.09,0,0
108-118,0.77,9.96,0,0,0,0,0,0.77,1.53,0,0,0.77,0,0.77,0,0
120,0,9.8,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
