stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,11.28,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,19.51,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,7.46,0,0.57,0.57,0,0,0,0,4.02,0,0,0.57,0,0.57
 60-70,0,0,4.91,0,0,182.56,0.98,0,0.98,0.98,0,0,0,0,0,0.98,0,0.98,0,10.8,0,0,0.98,29.45,0.98,1.96,0,0,0.98,0,0,13.74,0,0,0,0,0.98
 72-82,0,0,12.76,14.72,0.98,494.76,2.94,2.94,2.94,27.49,3.93,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.96,87.37,0,1.96,8.83,123.69,0.98,3.93,4.91,0,15.71,0,0.98,12.76,2.94,1.96,5.89,4.91,3.93
 84-94,0,0,5.31,11.68,0,509.78,1.06,2.12,1.06,14.87,4.25,0,2.12,4.25,0,2.12,0,1.06,1.06,41.42,3.19,3.19,2.12,80.71,0,2.12,1.06,0,12.74,2.12,0,3.19,1.06,0,3.19,3.19,0
 96-106,0,0,26.23,16.39,1.09,449.16,4.37,5.46,1.09,20.76,4.37,0,2.19,13.11,5.46,1.09,2.19,12.02,0,55.74,1.09,4.37,4.37,128.96,2.19,5.46,8.74,1.09,24.04,0,2.19,1.09,0,2.19,14.21,4.37,1.09
108-118,0,1.53,18.38,22.21,1.53,330.9,0.77,6.13,3.06,33.7,3.83,0,1.53,4.6,1.53,3.83,0.77,6.13,0.77,78.89,3.06,3.06,8.43,176.17,0.77,3.06,4.6,1.53,21.45,0,0,6.89,1.53,1.53,8.43,0.77,3.83
120,0,0,35.28,17.64,0,429.19,1.96,7.84,1.96,33.32,3.92,0,1.96,17.64,1.96,1.96,3.92,7.84,0,62.71,1.96,5.88,13.72,209.7,3.92,3.92,3.92,0,29.4,3.92,0,1.96,0,1.96,3.92,1.96,3.92
