stage,blastomeres,epidermis,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,olfactory,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,0,0,9.67,0,4.03
 48-58,0,0,2.87,0,0,0,0.57,0.57,25.82,0,2.87
 60-70,0,0,2.94,0,0,0,0,0,58.89,0.98,7.85
 72-82,0,0,2.94,0,0,0,0.98,0,39.27,0,2.94
 84-94,0,0,5.31,1.06,0,1.06,1.06,0,16.99,0,0
 96-106,0,0,2.19,0,0,0,0,0,18.58,0,0
108-118,0,0,3.06,0,0,0,0,0,10.72,0.77,0
120,0,1.96,3.92,1.96,3.92,0,0,0,15.68,0,0
