stage,axial,blastomeres,endoderm,epidermis,eye,lateral_line,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,pronephros,somites
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,7.89,0,0,0,0,0,13.14,15.77,0,7.89,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,12.59,6.29,0,0,3.15,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
