stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.28,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,31.54,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,95,2,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,1,0,0,8,0,2,1,0,0,38,1,1,0,0,3,9,0,0,0,0
 24-34,0,0,0,0,71.41,0.82,0,0.82,0,0,0,0.82,0,2.46,0.82,0,13.13,0,1.64,0.82,0.82,0.82,0.82,0,22.98,0,5.75,4.93,0,0,69.77,0,0,0,2.46,0,10.67,0,0,0.82,1.64
 36-46,0,0,0.81,0.81,33.84,0,0,0.81,0,2.42,0,6.45,0,3.22,0,0,3.22,0,1.61,0,0,2.42,3.22,0,16.11,0,8.86,1.61,0,0,56.4,0.81,0,2.42,0,0,6.45,0,0,0,0
 48-58,0,0,0,0,12.62,0,0,4.02,0,2.87,0,6.89,2.3,1.72,0,0,2.3,0,0.57,1.72,0,2.87,2.3,0.57,8.61,0,5.16,1.72,0,0,43.04,0,0,0.57,0.57,0,6.31,0,0,0,0
 60-70,0,0,0,0,21.59,0,0,3.93,0,7.85,0,8.83,5.89,0.98,0,0,3.93,0,3.93,0.98,0,0,4.91,0,11.78,0,5.89,2.94,0,0,42.21,0,0,1.96,0,0,1.96,0,0,0,2.94
 72-82,0,0,7.85,0,16.69,0,0,5.89,0,2.94,0.98,10.8,13.74,0.98,0,0,4.91,0,0.98,0.98,0,14.72,8.83,1.96,23.56,0,10.8,7.85,0,0.98,49.08,0,0,0.98,0,0,2.94,2.94,0,0.98,0
 84-94,0,0,5.31,0,36.11,0,1.06,14.87,1.06,9.56,0,8.5,14.87,1.06,0,0,7.43,1.06,4.25,1.06,0,7.43,7.43,1.06,9.56,0,10.62,6.37,0,0,123.2,0,0,6.37,0,0,4.25,6.37,0,0,0
 96-106,0,0,9.84,0,49.18,0,3.28,12.02,1.09,7.65,0,8.74,26.23,0,0,1.09,8.74,1.09,8.74,1.09,0,16.39,7.65,0,16.39,1.09,20.76,10.93,0,0,114.75,0,0,0,0,0,8.74,13.11,1.09,0,2.19
108-118,0,0,3.83,0,46.72,0,3.83,10.72,0,16.85,0.77,3.83,32.94,0,0,0.77,6.13,0,6.89,2.3,0,7.66,5.36,1.53,12.26,0.77,9.19,6.89,0,0,81.19,0,0,0,0.77,0,2.3,8.43,0.77,0.77,0
120,0,0,1.96,0,54.87,0,3.92,9.8,0,3.92,0,3.92,17.64,0,0,0,7.84,0,1.96,1.96,0,3.92,3.92,0,15.68,1.96,11.76,5.88,0,0,64.67,0,0,5.88,0,0,1.96,3.92,0,0,3.92
