stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,26.29,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,2,16,1,0,0,0,3,0,0,4,1,0,2,0,1,5,0,2,5,0,60,0,1,0,2,2,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,1.64,2.46,0,0,0,0,6.57,2.46,0,0,2.46,0,14.78,0,10.67,3.28,0,142.01,0,0,1.64,0,2.46,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,0.81,0,0,3.22,0,0,2.42,0,0.81,16.92,0,5.64,1.61,0,117.63,0,0,2.42,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,2.87,1.15,0,0,2.3,0,2.3,1.72,0,1.72,2.3,0,12.62,0,3.44,0.57,0,72.87,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,4.91,0.98,0,0,2.94,0,4.91,2.94,0,2.94,3.93,0,8.83,0,6.87,1.96,0,74.6,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,9.82,0,5.89,0.98,1.96,2.94,1.96,0,3.93,2.94,0,0,0.98,1.96,12.76,0,14.72,1.96,0,89.33,0,0,0.98,0,1.96,1.96,0,0,0,0.98
 84-94,0,0,0,0,20.18,1.06,1.06,5.31,1.06,3.19,5.31,1.06,13.81,5.31,0,2.12,5.31,0,8.5,0,4.25,6.37,0,246.39,0,0,0,0,0,4.25,0,0,0,0
 96-106,0,0,0,0,26.23,0,5.46,4.37,1.09,10.93,0,1.09,17.49,8.74,0,2.19,0,2.19,9.84,0,18.58,6.56,0,212.01,0,0,0,0,0,7.65,0,0,1.09,1.09
108-118,0,0,0.77,0,30.64,0,1.53,4.6,0,5.36,0,0,14.55,2.3,0,0.77,5.36,0,7.66,0,8.43,4.6,0,160.09,0,0,0,0,0,13.79,0.77,0,0.77,0
120,0,0,0,1.96,31.36,0,0,15.68,0,9.8,0,0,19.6,1.96,1.96,0,3.92,0,5.88,0,9.8,7.84,0,174.42,0,0,1.96,0,0,7.84,0,0,0,0
