stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0.82,0,0,5.75,0.82,0.82,0,0.82,0,0,1.64,12.31
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,2.42
 48-58,0,0,0,0.57,1.15,0,0,0,0,0,0.57,0,0,0.57,2.3,0,0,0,0,0,0,0.57,1.72
 60-70,0,0,0,0.98,3.93,0,0,0,0,0,1.96,1.96,0,0,0.98,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,13.74,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,10.62,1.06,0,0,0,1.06,2.12,1.06,2.12,0,1.06,0,0,0,0,0,0,0,4.25
 96-106,0,0,0,1.09,9.84,0,0,0,0,1.09,3.28,2.19,0,0,1.09,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0.77,6.89,0,0,0,1.53,1.53,3.06,0,0.77,0,0.77,0,0,0,0,0,0,0.77,3.06
120,0,0,0,0,21.56,0,0,1.96,1.96,0,15.68,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96
