stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,26.27,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,21.75,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,37.3,0.57,2.3,0,0,0,2.87,0,0,0,0,0,0.57,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,67.73,0,4.91,0,0,0,9.82,0,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0
 72-82,0,0,2.94,1.96,0.98,14.72,0,0,0,6.87,0,0,0,0,0,0,161.97,0,12.76,0,0,1.96,42.21,0,0.98,0,0,0,3.93,0,0,0.98,0,2.94,0,0.98
 84-94,0,0,5.31,2.12,1.06,14.87,0,0,0,1.06,1.06,1.06,2.12,1.06,1.06,0,514.03,0,9.56,0,0,0,41.42,2.12,1.06,0,0,0,6.37,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,15.3,18.58,4.37,50.27,2.19,6.56,0,21.86,8.74,1.09,8.74,4.37,2.19,3.28,781.39,0,30.6,1.09,2.19,4.37,212.01,2.19,1.09,3.28,0,0,25.14,1.09,1.09,2.19,0,6.56,5.46,0
108-118,0.77,0,18.38,2.3,7.66,40.6,0,3.06,1.53,11.49,4.6,0.77,6.89,2.3,0.77,1.53,1493.63,3.83,47.49,3.06,0,4.6,167.75,2.3,0.77,2.3,0,0.77,16.09,0,0,2.3,1.53,4.6,0.77,3.83
120,0,0,11.76,5.88,1.96,35.28,1.96,3.92,1.96,13.72,1.96,1.96,3.92,0,1.96,3.92,793.71,0,21.56,0,3.92,0,109.75,1.96,0,3.92,0,0,7.84,0,0,1.96,0,3.92,0,0
