stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,3,0,0,1,0,0,2,1,0,0,0,0,4,0,0,1,26,0,0,0,2,0,13,0,5,8,0,0,0
 24-34,0,0.82,0,0,6.57,0.82,0,2.46,0,0,0,0,0,2.46,0.82,0,0.82,60.74,0.82,0,1.64,0,0,0.82,0.82,0.82,17.24,0,0.82,0
 36-46,0,1.61,0,0,8.86,0,0.81,3.22,0,0,0,0,0,3.22,0,0,0.81,44.31,0,0,0,0,0,1.61,0,0,10.47,0,0,0
 48-58,0,0,0,0,15.49,0,0,3.44,0.57,0,0,0.57,0,6.31,0,0,0.57,37.3,0,0,1.15,0,0,0,0,0,7.46,0,0,0
 60-70,0,1.96,0,0,21.59,1.96,0.98,3.93,0,0,0,0,0.98,10.8,0,0,0.98,29.45,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,19.63,0,0,4.91,0.98,0,0,0,1.96,6.87,0,0.98,0,14.72,0,0,0.98,0,0,1.96,0,0,3.93,1.96,0,0
 84-94,0,0,0,0,10.62,0,0,2.12,0,1.06,0,0,1.06,5.31,0,0,1.06,24.43,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,1.09,0,7.65,0,0,2.19,0,1.09,1.09,0,0,6.56,0,1.09,0,12.02,0,1.09,0,0,1.09,1.09,0,0,0,0,1.09,0
108-118,0,1.53,0,0,9.19,0.77,0,0.77,0,1.53,0,0,0,3.83,0,0.77,0.77,12.26,0,1.53,1.53,0,0,0,0,0,0,0,0,1.53
120,0,0,0,1.96,5.88,0,0,3.92,0,9.8,0,0,0,5.88,0,0,0,11.76,0,0,1.96,0,0,0,0,0,0,0,0,0
