stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,21,0,0,0,0,0,2,3,10,0,0,0
 24-34,0,0,0,1.64,0,0,5.75,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,41.86,0,0,0,0,0,0,0,12.31,0,0,2.46
 36-46,0,0,0,1.61,0,0,5.64,0,0,0.81,0,0,0,0,0,0,0,0,0.81,40.28,0.81,0.81,0,0,2.42,0,0,12.09,0,0,2.42
 48-58,0,0,0,2.3,0,0,4.02,0,0,0.57,0,0,0,0.57,0,4.59,0,0,0,29.26,0.57,0,0,0,0.57,0,0,3.44,0,0,0.57
 60-70,0,0,0,5.89,0.98,0,18.65,0,0,2.94,0,0,0,0,0.98,6.87,0,0,0,46.13,0,0,0,0,0.98,0,0,6.87,0,0,1.96
 72-82,0,0,0,4.91,0.98,0,12.76,0,0,3.93,0,0,0,0,0,16.69,1.96,0,0.98,22.58,0,0,0.98,0,0.98,0,0,1.96,0,0,2.94
 84-94,0,0,0,6.37,0,0,5.31,0,0,3.19,0,0,0,0,0,5.31,0,1.06,1.06,10.62,2.12,1.06,2.12,0,2.12,0,0,2.12,0,0,2.12
 96-106,0,0,0,2.19,0,0,17.49,0,0,3.28,1.09,1.09,1.09,0,0,7.65,0,0,0,10.93,0,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,8.43,0,0.77,9.19,0.77,1.53,2.3,0.77,2.3,0,0,0,4.6,0,0,1.53,6.13,0.77,0,0.77,0,3.83,0,0,0.77,0,0.77,3.06
120,1.96,0,0,17.64,0,0,9.8,0,0,9.8,0,1.96,0,0,0,5.88,0,0,0,17.64,1.96,0,0,0,7.84,0,0,0,1.96,0,3.92
