stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,43,0,0,0,0,0,0,0,1,30,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,7.39,0,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,2.46,311.1,0.82,13.95,0,0,0,0.82,0,0,144.47,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,0,19.34,0,0,0,2.42,0,0,0,0.81,0,0,0,0.81,4.03,0,0,1.61,811.31,0.81,20.95,0,0,0,0,0,0,215.11,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,107.3,0,0.57,0,12.62,0,0.57,0.57,0,0,0,0,0,24.67,0,1.15,1.15,1141.3,1.15,14.92,0,0,0,0.57,0,0,253.05,0,0,0,0,2.87
 60-70,0,0.98,0,3.93,0,0,389.66,0,0,2.94,17.67,0.98,0,0,0,0.98,0,0,0,18.65,0,0,2.94,1898.26,0,8.83,0,0,0,1.96,0,0,265.99,0,0.98,0.98,0,1.96
 72-82,0,0,0,10.8,6.87,0,590.96,0,0,1.96,50.06,1.96,2.94,0,0,0.98,0.98,0.98,0,52.03,0,1.96,1.96,1661.95,0,27.49,0.98,0,0,2.94,0,0,174.74,0,0.98,5.89,0.98,2.94
 84-94,0,0,0,11.68,4.25,1.06,331.36,0,1.06,3.19,36.11,0,0,3.19,0,0,1.06,2.12,1.06,30.8,1.06,2.12,0,815.64,0,11.68,3.19,0,1.06,9.56,0,0,103.02,1.06,0,1.06,0,1.06
 96-106,0,0,0,5.46,5.46,1.09,293.98,0,0,1.09,36.06,0,0,5.46,1.09,0,0,3.28,0,21.86,0,1.09,3.28,714.72,0,17.49,0,0,1.09,6.56,1.09,0,48.09,0,0,0,0,0
108-118,0,0,0,14.55,1.53,0.77,227.49,0,1.53,0,27.57,3.06,0,0.77,0,0.77,0,0,0,19.15,1.53,0.77,1.53,785.11,0,11.49,0.77,0,0,3.83,0,0,36,3.83,0,0.77,0.77,0
120,0,0,0,15.68,3.92,0,209.7,1.96,0,0,47.03,0,0,0,0,0,0,0,0,21.56,0,0,3.92,905.42,0,9.8,1.96,0,0,11.76,1.96,0,62.71,0,0,0,0,0
