stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,26.29,0,0,31.54,2.63,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,31.47,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0
 24-34,0,0,4.1,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,12.31,0,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,0,0,3.22,0,0,0,1.61,3.22,0,0,0
 48-58,0,0,0.57,2.3,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,3.44,0,0,0,1.72,0,0,0,0
 60-70,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,3.93,0,0.98,0,5.89,0,0,0,0
 72-82,0,0,1.96,0.98,0,0,0.98,1.96,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,0,6.87,0,0,0,0
 84-94,0,0,1.06,3.19,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,13.81,0,0,0,0
 96-106,0,0,7.65,0,1.09,0,0,1.09,0,0,1.09,0,2.19,2.19,0,1.09,0,0,0,0,0,12.02,0,0,0,0
108-118,0,0,3.83,2.3,0,0.77,0,0,0,0,2.3,0,0.77,0.77,0,0,0,0.77,0,0,0,8.43,0,0,0.77,0
120,0,0,3.92,1.96,0,0,0,0,5.88,0,3.92,0,3.92,0,0,1.96,0,0,0,0,0,17.64,0,1.96,0,1.96
