stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,0,0,0,3,0,2,3,0,1,1,0
 24-34,0,2.46,0,0.82,0.82,0,0,0,0,0,57.46,0.82,3.28,0,0.82,0,4.1,0
 36-46,0,2.42,0,2.42,0,0,0,0.81,0,0,110.38,1.61,1.61,0,0.81,0,16.11,0
 48-58,0,0.57,0,12.62,0,3.44,0.57,0,0,1.15,113.61,1.72,0.57,0,2.87,0,21.23,0
 60-70,0,4.91,0,35.33,0,4.91,0,0,0,1.96,219.86,3.93,0.98,0,6.87,0,26.5,0
 72-82,0,2.94,0,37.3,0,1.96,0,0,0,0,152.16,1.96,0.98,0,2.94,0,20.61,0.98
 84-94,0,0,0,23.36,0,2.12,1.06,0,0,1.06,60.54,1.06,0,0,0,0,3.19,0
 96-106,0,0,0,18.58,0,1.09,1.09,0,1.09,0,39.34,0,1.09,0,0,0,1.09,0
108-118,0,1.53,0,9.96,0,1.53,0,0,0,0,40.6,1.53,0,0,1.53,0,0.77,0
120,0,0,0,17.64,0,1.96,0,0,0,1.96,80.35,0,0,0,0,0,0,0
