stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0.98,0,0,3.93,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,1.06,0,1.06,0,0,26.55,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,4.37,0,1.09,0,2.19,0,1.09,44.81,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0.77,0.77,1.53,0.77,0,0,2.3,0,0,48.26,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,17.64,0
