stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,xanthophores
  3-4,52.71,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,3.22,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,0.57,0,0,0,13.2,0.57,0,0,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,16.69,0,0,0,0,0,0,11.78,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,17.67,0,0.98,1.96,0,0,0.98,15.71,1.96,0,0.98,3.93,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,29.74,0,0,0,0,0,0,16.99,1.06,0,1.06,1.06,0,0,1.06,0,0,1.06,0,0,0,2.12
 96-106,0,0,0,1.09,39.34,0,0,0,0,1.09,0,16.39,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0,0,4.37
108-118,0,0,0,0.77,43.66,0.77,0,0,0.77,0,0,25.28,0.77,0,2.3,3.06,0.77,0,0,0.77,0,0,0,0.77,0.77,0.77
120,0,0,0,1.96,21.56,0,0,0,0,0,0,13.72,3.92,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,1.96
