stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,39.4,0
 36-46,0,0,0,0.81,4.03,0,0,0.81,0,4.83,0,1.61,0.81,0,0,0,0,0,0,2.42,0,53.17,0
 48-58,2.3,0,1.15,4.02,11.48,0,0,4.02,0,25.25,0,1.15,4.02,0.57,0,0,0,0,0,0.57,0.57,51.64,0
 60-70,1.96,0.98,0.98,5.89,8.83,0.98,0,5.89,0,44.17,0,0.98,3.93,0,0,0,0,0,0,1.96,0,36.32,0
 72-82,0.98,0,6.87,3.93,11.78,0.98,0,5.89,0,85.4,0,0.98,1.96,0,0.98,0,0,0,0,2.94,1.96,71.66,1.96
 84-94,1.06,0,2.12,5.31,13.81,0,0,1.06,0,54.16,2.12,1.06,0,1.06,0,0,1.06,0,0,1.06,0,48.85,0
 96-106,2.19,0,2.19,5.46,8.74,1.09,2.19,9.84,1.09,81.96,0,1.09,5.46,0,0,0,0,0,0,1.09,0,72.13,1.09
108-118,1.53,0,0.77,5.36,7.66,1.53,0,2.3,2.3,39.83,0,0.77,3.06,0,0,0.77,0,0.77,0,0,0.77,50.55,0.77
120,3.92,0,0,7.84,9.8,0,0,3.92,0,31.36,1.96,0,0,0,0,0,0,0,0,0,0,41.16,0
