stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,9,9,26,0,1,0,1,2,2,0,7,2,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,17.24,0,0,18.06,44.33,4.93,0,1.64,0,0,0,0,0.82,4.1,4.1,0,0,0.82,0
 36-46,0,0.81,0,1.61,0,0,3.22,6.45,0,0,0,0,39.48,0,0.81,12.09,66.06,1.61,0,4.83,0,0,0,0,0,0,8.86,0,0.81,0,0
 48-58,0,1.15,0,2.87,0,0,2.3,29.26,0,0.57,0,0,39.02,0,0,1.72,59.1,1.15,0.57,1.72,0,0,0,0,0,0,14.35,0,0,0,0
 60-70,0,0,0,9.82,0,0.98,1.96,65.76,0,0.98,0,0,105.02,0,2.94,3.93,43.19,0,0,5.89,0,0,0,0,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,11.78,0.98,0,0.98,40.25,0.98,0,0,0,98.17,0,0.98,7.85,44.17,0,0,6.87,0.98,0.98,0,0,0,0,2.94,0,0,0.98,0
 84-94,0,1.06,1.06,15.93,0,0,2.12,32.92,0,1.06,1.06,0,82.84,0,2.12,7.43,32.92,0,0,7.43,0,1.06,0,0,0,0,3.19,0,1.06,1.06,1.06
 96-106,0,1.09,1.09,9.84,1.09,0,0,36.06,0,1.09,0,1.09,42.62,1.09,0,2.19,27.32,0,1.09,9.84,0,1.09,0,0,0,0,2.19,1.09,1.09,0,0
108-118,0,2.3,0,7.66,0,0,0.77,29.11,0,0.77,0,0.77,52.85,0,0.77,3.06,25.28,0.77,0,9.96,0.77,1.53,0,0,0,0,0.77,0,0,0.77,0.77
120,0,5.88,0,13.72,0,0,1.96,23.52,0,0,0,0,21.56,0,0,1.96,29.4,0,0,11.76,0,0,0,0,0,0,0,0,0,0,1.96
