stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0,15.6,0,0,0,0,0.82,0,0.82,3.28,0,0.82
 36-46,0.81,0.81,0,1.61,0.81,0,0,0,0.81,0,0.81,0,1.61,1.61,12.09,0.81,0,0.81,0,0,0.81,0,4.03,0,0
 48-58,0.57,0,0,4.59,0,1.15,0,0,0,0,0,0,3.44,0,24.67,0,0,0,1.72,0,0,0,7.46,0,0.57
 60-70,0,0,0,1.96,0,1.96,0,0,0,0,0,0.98,2.94,0.98,7.85,0,0,0.98,0,0,0,0,1.96,0.98,0
 72-82,0.98,0,0,5.89,0,1.96,0,0,0,0,0,0.98,4.91,0,15.71,0,0,0,0,0,0,0,2.94,0,0
 84-94,3.19,0,0,8.5,0,1.06,1.06,0,0,1.06,0,0,5.31,0,7.43,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,1.09,0,0,4.37,0,1.09,0,1.09,0,0,0,0,5.46,2.19,14.21,0,1.09,0,3.28,0,0,0,0,0,2.19
108-118,0,0,0.77,1.53,0,2.3,0,0,0,0,0,0,1.53,0.77,7.66,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,7.84,0,3.92,0,0,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,0,1.96,0,0
