stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,34.62,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,22,106,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,23,0,0,17,309,15,3,0,3,0,1,17,0,19,20,98,0,0,45,0,0
 24-34,0,0,0.82,0.82,27.09,11.49,0,19.7,4.93,1.64,9.03,15.6,0.82,0,3.28,0,0.82,0,3.28,0,0,128.87,0,0,44.33,1085.99,6.57,8.21,1.64,0,0,1.64,0,2.46,5.75,9.85,283.2,0,0,127.23,0,0.82
 36-46,0,0,0,0,19.34,1.61,0,57.2,20.95,0.81,24.98,29.81,0,0,2.42,0,0,0,14.5,0,0,258.62,0,2.42,70.9,1780.53,3.22,13.7,6.45,0,0.81,4.03,0,0,11.28,0,378.66,0,0,82.18,0,0.81
 48-58,0.57,0.57,0,0,21.23,0.57,0,150.91,21.8,4.02,34.43,57.38,0,0,5.16,0.57,0,0,5.74,0.57,0,377.56,0,5.16,40.17,1701.33,1.15,10.33,16.64,0,1.15,4.02,0,0,25.82,0,362.07,0,1.15,65.99,0.57,2.3
 60-70,0,0,0.98,0,29.45,1.96,0,243.42,24.54,4.91,50.06,77.54,0.98,0,1.96,2.94,0.98,0,10.8,0,0.98,948.15,2.94,13.74,48.09,1701.96,0,10.8,13.74,0,7.85,1.96,0,0,23.56,0,201.21,0,3.93,58.89,2.94,2.94
 72-82,0,0,4.91,0,31.41,4.91,0,340.64,11.78,2.94,53.01,148.23,5.89,0,1.96,2.94,1.96,0,19.63,1.96,0,1116.15,2.94,19.63,48.1,1673.73,0,29.45,39.27,0,5.89,2.94,0,0.98,13.74,0,109.95,0,14.72,112.89,10.8,1.96
 84-94,1.06,0,2.12,0,52.04,4.25,0,302.68,14.87,4.25,55.23,104.08,3.19,0,2.12,6.37,4.25,2.12,15.93,0,0,833.7,0,14.87,35.05,953.71,1.06,19.12,44.61,0,6.37,5.31,0,0,30.8,0,56.29,3.19,14.87,101.96,19.12,0
 96-106,0,0,3.28,0,78.68,5.46,0,227.31,18.58,5.46,49.18,109.28,5.46,0,4.37,14.21,4.37,0,21.86,3.28,0,900.51,4.37,26.23,42.62,827.28,1.09,29.51,49.18,1.09,15.3,15.3,0,1.09,21.86,0,19.67,4.37,27.32,123.49,31.69,1.09
108-118,0,0,0.77,0,63.57,6.89,0.77,171.58,24.51,3.06,42.13,88.85,7.66,0,0.77,8.43,4.6,0.77,14.55,0.77,0,851.75,0.77,13.79,54.38,1003.41,1.53,29.11,62.81,0.77,13.02,0.77,0,0,25.28,0,22.21,3.06,14.55,81.19,20.68,1.53
120,0,0,1.96,0,50.95,3.92,1.96,123.47,15.68,0,29.4,84.27,1.96,1.96,3.92,5.88,5.88,0,11.76,3.92,0,544.82,0,31.36,72.51,936.78,0,15.68,41.16,0,5.88,7.84,0,1.96,13.72,0,19.6,3.92,7.84,72.51,19.6,0
