stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 14-21,0,1,0,0,0,0,0,0,0,5,1,0,12,1,0
 24-34,0.82,0,0,0.82,0,0,0,0,0,6.57,1.64,0,0.82,3.28,0
 36-46,1.61,0,0,1.61,0,0,0,0,1.61,8.86,0,0,0.81,1.61,0
 48-58,0,0,0,5.16,0,0.57,0,0.57,1.15,17.21,0,0,0,4.02,0
 60-70,0,0,0,0.98,0,0,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,0,4.91,0,0,0,0,3.93,20.61,0,0,0,2.94,0.98
 84-94,0,0,0,3.19,0,0,0,0,0,5.31,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,2.19,0,2.19,3.28,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0,0,4.6,0,0,0,0,0
120,1.96,0,0,0,0,0,0,0,0,5.88,1.96,0,1.96,0,0
