stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0
 24-34,0,0,7.39,0.82,0,0,0,0,0,0,0,0,0,3.28,0,1.64,7.39,2.46,0,0,0,0,0,0.82,1.64,0,7.39,0,0
 36-46,0,0,5.64,0,0,8.06,0,0,0,2.42,0,0,0.81,6.45,0,0.81,5.64,4.83,0.81,0,0,0,0,0,3.22,0,1.61,0,0
 48-58,0,0,2.3,0,0,2.3,0,0,0.57,1.72,0,0,0,17.21,0,2.3,6.31,1.72,0,0,0,0,0.57,0,4.02,0,1.72,0,0
 60-70,0,0,6.87,0,0,5.89,0.98,0.98,0.98,2.94,0,0,0,23.56,0,0.98,2.94,0,0,0,0,0,0,0,0.98,0,2.94,0,0
 72-82,0,0,3.93,0,0,2.94,0.98,0,4.91,6.87,0,4.91,0,32.39,0,4.91,2.94,0.98,0.98,0,0,0,0,0,0.98,0,7.85,0.98,0.98
 84-94,0,0,5.31,0,0,6.37,1.06,1.06,0,1.06,2.12,0,2.12,22.3,0,2.12,1.06,1.06,0,0,0,0,0,0,0,1.06,5.31,1.06,1.06
 96-106,0,0,5.46,0,0,4.37,0,0,1.09,6.56,0,1.09,1.09,18.58,0,0,1.09,1.09,0,0,2.19,0,0,0,0,0,5.46,0,0
108-118,0,0,4.6,0,0.77,3.83,0.77,0.77,0,3.06,0,0,0,21.45,0.77,0.77,1.53,0,0,2.3,0,1.53,0.77,0,0,0,3.06,1.53,0
120,0,0,11.76,0,0,5.88,0,0,0,1.96,1.96,0,1.96,19.6,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,0
