stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,14,0,0,19,3,1,0,0,4,0,0,3,1,10,61,8,0,0,0,0
 24-34,0,0,0.82,0.82,0,9.85,0,0,2.46,0.82,0,0,0,0,0,0,0,0,105.07,0,0,64.85,16.42,2.46,0,0,0,0,0,0,0,15.6,22.16,2.46,0,8.21,0,1.64
 36-46,0,0,0,0.81,0,6.45,2.42,0,7.25,0,0,0,0.81,0,0,0,0,0,164.36,0,0,39.48,12.09,1.61,0,0.81,0,0,0,0,0,4.03,0.81,5.64,0,7.25,0,0.81
 48-58,0,0,0,0.57,0,5.74,2.87,0,7.46,2.3,0,0.57,0,0,0,0,0,1.15,246.16,0,0,29.84,11.48,2.3,0.57,2.3,0,0,0.57,0,0,5.74,0,1.72,0,4.02,0,2.3
 60-70,0,0,0,0,0.98,5.89,2.94,0.98,12.76,8.83,0,0,0,0,0,0.98,0,0.98,391.63,0,2.94,23.56,13.74,1.96,0,0,0,0,0,0,0,2.94,0,1.96,0.98,6.87,0.98,1.96
 72-82,0,0,0,1.96,3.93,28.47,1.96,0.98,19.63,23.56,0,0.98,6.87,0,0.98,0,0.98,0,598.81,0,9.82,39.27,24.54,2.94,0,4.91,0,1.96,1.96,0,0.98,6.87,0,8.83,6.87,8.83,7.85,4.91
 84-94,0,0,0,3.19,2.12,28.68,0,0,16.99,15.93,1.06,0,5.31,0,0,0,0,2.12,344.1,0,5.31,26.55,12.74,1.06,1.06,0,0,1.06,0,0,0,0,0,2.12,2.12,7.43,4.25,4.25
 96-106,0,1.09,0,1.09,1.09,20.76,2.19,1.09,6.56,17.49,0,0,10.93,2.19,0,0,0,3.28,366.1,1.09,15.3,17.49,31.69,5.46,1.09,12.02,0,2.19,1.09,0,1.09,5.46,0,1.09,5.46,12.02,14.21,3.28
108-118,0,0,0,0.77,0.77,16.09,0.77,0,7.66,16.85,0,0,2.3,1.53,0,3.83,0,0,320.94,0,5.36,15.32,26.81,0,0,3.83,0.77,2.3,0,0,0,6.89,0,0,6.89,11.49,11.49,3.83
120,0,0,0,1.96,0,21.56,1.96,0,7.84,25.48,0,0,5.88,3.92,0,0,1.96,0,327.28,0,7.84,13.72,17.64,0,0,3.92,0,11.76,0,0,0,1.96,0,1.96,5.88,15.68,9.8,0
