stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,3,1,1,0,1,0,0,0,0,0,0,18,0,0,1,1,1,1,3,4,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,10.67,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,3.22,0.81,0,0,0,0.81,0,1.61,0,8.86,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,4.59,0,0.57,0,0,0,0,1.72,0,16.64,0.57,0,0,1.15,0,0,0,7.46,0,0.57
 60-70,0.98,0,7.85,0,0,0,0.98,0,0,1.96,0,10.8,0,0,0,0,0,0,0,0.98,0,0
 72-82,0.98,0,3.93,0,0.98,0,0,0,0,0.98,0,3.93,0,0.98,0,0,0,0.98,0,0,0.98,0
 84-94,1.06,0,3.19,0,0,1.06,0,1.06,0,4.25,0,4.25,0,0,0,0,0,0,0,0,1.06,0
 96-106,2.19,1.09,2.19,0,0,0,0,0,0,2.19,1.09,5.46,0,0,0,0,0,0,0,0,0,0
108-118,0.77,0,6.13,0.77,0,0,0,0,0,0.77,0,7.66,0,0.77,0,3.06,0,0,0,0,0.77,0
120,1.96,0,5.88,0,0,0,0,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0
