stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,3294.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2206.67,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,12.26,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,0,34.17,0,0,26.29,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,499.46,13.14,0,0,181.38,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,18.88,0,0,31.47,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,434.28,9.44,0,0,122.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,18,3,7,0,0,8,0,0,1,0,1,0,0,0,0,8,0,0,6,129,0,1,3,1,0,2,0,18,1,18,46,0,0,2,0,0
 24-34,0,0,0.82,0.82,4.93,0,19.7,1.64,0,4.93,1.64,0,0,0,0.82,0,1.64,0.82,0,13.95,0,0,9.03,215.89,1.64,2.46,2.46,0,0,4.1,0,0,0,3.28,68.13,0,0,3.28,0,0
 36-46,0,0,0.81,0,4.83,0,64.45,0.81,2.42,14.5,0,0,0.81,0,0,0,0,0,0,30.62,0,1.61,8.86,353.69,0,1.61,2.42,0,0,4.83,0,0,0,0,70.09,0,0,3.22,0,0
 48-58,0,0,0,0,3.44,0,86.07,0.57,2.3,17.21,0,0,0,0,0.57,0,0.57,0.57,0.57,28.69,1.15,0.57,4.59,195.67,0,1.15,0.57,0,0,4.59,0,0,0.57,0,54.51,0,0,2.3,0,1.15
 60-70,0,0,0.98,0,0.98,0.98,155.08,0.98,1.96,25.52,1.96,0,0,0.98,0,0,0.98,0.98,0,53.98,0,0.98,1.96,233.6,0.98,3.93,0.98,0,0,1.96,0,0,0.98,0,40.24,0,0.98,2.94,0,1.96
 72-82,0,0,0,0,3.93,2.94,68.72,0,1.96,26.5,0,0,1.96,0.98,0.98,0.98,1.96,0,0,55.95,0.98,0,4.91,132.52,0,4.91,3.93,0,0,3.93,0,0,0.98,0,10.8,0,0,1.96,1.96,0
 84-94,0,0,0,0,5.31,8.5,54.16,1.06,1.06,18.05,0,0,0,3.19,2.12,0,1.06,0,0,28.68,2.12,4.25,5.31,80.71,0,2.12,2.12,0,2.12,6.37,0,0,1.06,0,15.93,0,1.06,3.19,1.06,0
 96-106,0,0,0,0,0,4.37,39.34,2.19,1.09,18.58,0,0,3.28,2.19,0,1.09,2.19,1.09,0,40.44,2.19,2.19,1.09,66.66,1.09,1.09,1.09,0,0,5.46,0,0,0,0,4.37,3.28,1.09,2.19,0,1.09
108-118,0,0,0,0,6.89,3.83,32.17,1.53,0.77,16.09,3.06,0,0,0.77,1.53,0,0,0,0,21.45,0,1.53,6.13,56.68,0,1.53,2.3,0,0,6.13,0,0,0,0,4.6,0.77,0.77,2.3,0.77,0
120,0,0,0,0,11.76,3.92,21.56,3.92,0,13.72,0,0,1.96,1.96,0,0,1.96,5.88,0,11.76,0,1.96,5.88,45.08,0,1.96,1.96,0,0,3.92,0,0,3.92,0,0,3.92,1.96,5.88,1.96,0
