stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,594.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,13.14,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,176.12,5.26,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,245.46,3.15,0,0,53.5,0,0,18.88,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,23,6,0,7,0,0,0,5,1,0,0,0,0,0,0,0,0,10,0,12,165,4,0,4,4,2,20,0,0,15,61,0,0,2,0,0
 24-34,0,0,0.82,9.03,0,0,26.27,0,1.64,1.64,4.93,0.82,0,0.82,1.64,0.82,0.82,1.64,0,0,32.83,0,7.39,251.18,0.82,0,1.64,0,5.75,0,0.82,0,2.46,45.97,0,0,6.57,0,0.82
 36-46,0,0,0,4.03,1.61,0,45.92,0,0,0.81,11.28,0,0,0.81,0,0,0,0.81,0.81,0.81,24.98,0,7.25,217.53,0,0.81,0,0,4.03,0,0,0,0,64.45,0,0,0.81,0,1.61
 48-58,0,0,0,2.87,0,0,43.61,0,1.15,1.15,14.35,0.57,0,1.15,0,0,0,1.72,0,1.15,24.67,2.3,6.89,78.61,0.57,2.3,0.57,0,1.72,0,0,0,0,21.8,0,0,1.72,0,0
 60-70,0,0,0,4.91,0,0,47.11,0,0.98,2.94,16.69,2.94,0,0.98,3.93,0,0.98,0,0,0.98,27.48,0.98,7.85,88.34,0,0.98,0,0,0.98,0,0.98,0,0,18.65,0,0,1.96,0,0.98
 72-82,0,0,0,1.96,0,0,20.61,0,0,0.98,10.8,0,0,0,0.98,0,0,0.98,0,0,26.5,0,4.91,43.19,0,0.98,0.98,0,1.96,0,0,0,0,2.94,0.98,0.98,3.93,0.98,0.98
 84-94,0,0,0,6.37,0,0,25.49,0,3.19,2.12,11.68,1.06,0,2.12,1.06,4.25,1.06,0,0,0,19.12,1.06,4.25,31.86,0,0,0,0,6.37,0,0,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,9.84,0,0,10.93,0,0,2.19,5.46,2.19,0,0,2.19,0,0,0,0,0,5.46,0,4.37,20.76,0,1.09,0,0,5.46,0,0,0,0,1.09,1.09,0,4.37,0,0
108-118,0,0,0,5.36,0,0.77,13.02,0.77,0,1.53,3.83,0.77,0,0.77,0,0,0,0,0.77,0.77,12.26,0,1.53,20.68,0,0,0.77,0,4.6,0,0,0.77,0,1.53,0,0,3.06,0,0
120,1.96,0,0,5.88,0,0,7.84,0,0,0,7.84,3.92,0,0,0,0,0,0,0,0,13.72,0,11.76,29.4,0,0,1.96,0,9.8,0,1.96,0,0,0,0,0,0,1.96,0
