stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,5.26,0,2.63,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.48,0,0,0,92,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,245.46,3.15,0,0,34.62,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,33,1,0,1,1,0,1,2,0,2,5,5,0,1,0,0
 24-34,0,0,0,1.64,0.82,2.46,0.82,0,0.82,0,0,0,0,0,0,0.82,4.1,0,0,2.46,45.97,1.64,1.64,0,0,0,2.46,0,6.57,0.82,1.64,9.85,0,2.46,0,0
 36-46,0,0,0,0,0.81,5.64,0,0.81,0,0,0,0,0,0.81,0,0,6.45,0,0.81,2.42,81.37,0.81,0.81,0,0,0,4.83,0,1.61,0,0,24.17,0,3.22,0,0
 48-58,0,0,0,0.57,0.57,9.75,0,1.15,0.57,0,0,0,0,0,0.57,0,2.87,0,0,2.3,119.93,0,0,0,0,0,1.15,0,0,0,0,28.69,0,4.02,0,2.3
 60-70,0,0,0,0.98,0,17.67,0.98,2.94,0,0,0.98,0,0,0.98,0,0.98,5.89,0.98,0,0.98,229.68,0,0,0,0,0.98,1.96,0,0.98,0,0,55.95,0,1.96,0,0
 72-82,0,0,0,0,0.98,46.14,0,6.87,0,0,0,0.98,0,0,0,0,15.71,0,0.98,3.93,179.64,1.96,0,0.98,0,0,1.96,0,0,0,0,36.32,0.98,5.89,0,0.98
 84-94,0,0,0,1.06,0,23.36,0,11.68,3.19,0,0,1.06,0,0,0,1.06,4.25,0,1.06,1.06,88.15,0,0,0,0,0,3.19,0,1.06,0,0,10.62,0,7.43,0,2.12
 96-106,0,0,0,1.09,1.09,21.86,0,8.74,1.09,0,2.19,0,1.09,0,0,0,6.56,0,0,0,96.17,2.19,0,0,0,0,2.19,0,2.19,0,0,5.46,1.09,1.09,0,2.19
108-118,0,0,0,0,0.77,16.09,0.77,2.3,0.77,0,0,0.77,0,0.77,0,0,1.53,0,0,0,102.64,1.53,0,0.77,0,0,0,0,1.53,0,0,2.3,0.77,3.06,0,2.3
120,0,0,0,7.84,1.96,15.68,0,0,3.92,0,1.96,0,0,0,1.96,0,5.88,0,1.96,3.92,74.47,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,1.96,1.96
