stage,axial,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,3,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,3.28,0,0.82,0,0,0,0,0,0,0,26.27,0,0,0.82,0,3.28,0,0,17.24,0,0,0,0
 36-46,0,0.81,0,4.03,0,4.03,0,0,0,0,0,0.81,0,0,0,76.54,0,1.61,0,0,2.42,0,0.81,28.2,0,0,0,0
 48-58,0,0,0.57,6.89,0,2.3,0,0,0,0,0,0.57,0,0.57,1.15,125.09,0,1.72,0,0,1.72,0,0,36.72,0,0,0,0
 60-70,0,0,0,32.39,0,4.91,0.98,0,0,0,0,5.89,0,0,0,288.57,0,0.98,0.98,0,0.98,0,0,53.98,0,0.98,0,0
 72-82,0,1.96,0,35.34,0,5.89,0,0.98,0,0.98,0,10.8,0.98,0.98,0.98,256.21,0,10.8,0,0,0.98,0,0,29.45,0,0.98,0.98,0
 84-94,0,3.19,1.06,32.92,0,7.43,1.06,1.06,0,0,0,5.31,0,0,0,142.31,0,5.31,0,0,12.74,0,0,25.49,2.12,0,0,1.06
 96-106,0,3.28,0,19.67,1.09,6.56,1.09,1.09,0,0,1.09,2.19,0,0,0,162.83,0,6.56,1.09,0,2.19,0,0,6.56,1.09,1.09,2.19,0
108-118,0,2.3,0,26.81,0,9.96,0,3.83,0.77,0,0,3.06,0,0.77,0,146.3,0,3.83,0,0,2.3,0,0,6.13,2.3,0.77,0,0
120,0,0,0,17.64,0,7.84,0,5.88,0,0,0,9.8,0,0,1.96,168.54,0,9.8,0,0,3.92,0,0,5.88,0,0,0,0
