stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,2,1,1,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,48,0,0,7,0,0,1,0,0,43,0,0,0,0,0
 24-34,0.82,0,0.82,0.82,0,6.57,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,1.64,346.4,12.31,0.82,0,0,0,0,0,0.82,127.23,0,0,0.82,0,0
 36-46,0.81,0,0.81,0,0,103.13,0,0.81,2.42,0,0,0,0,0,0,1.61,4.03,0,0,0.81,943.44,19.34,0.81,0,0,0.81,0,0.81,0.81,207.06,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,0,242.72,0.57,0.57,22.38,0,0,0,0,0,1.15,0,11.48,0,0,1.15,1077.03,10.33,0.57,0,0,0.57,0,0,0,214.6,0,0,0.57,0,0.57
 60-70,0,0,1.96,0.98,0,756.75,0,0,18.65,0,0,0.98,0,0.98,0,0,15.7,0,0,2.94,1759.87,16.69,0,0,0.98,4.91,0,0,0,238.51,0,0.98,0.98,0,0
 72-82,2.94,0,5.89,0,0,662.62,0,1.96,34.36,3.93,0,0,0,0.98,0,0.98,38.28,0,0.98,1.96,1188.79,19.63,3.93,0,0,0,0,0.98,0,106.02,0.98,0.98,3.93,0.98,2.94
 84-94,2.12,0,6.37,3.19,0,402.51,0,0,25.49,1.06,2.12,0,0,0,2.12,0,18.05,1.06,1.06,1.06,490.66,8.5,11.68,0,0,0,0,1.06,0,71.16,2.12,1.06,2.12,1.06,1.06
 96-106,0,0,6.56,2.19,1.09,309.28,0,0,19.67,0,0,0,0,3.28,0,0,21.86,1.09,0,0,445.88,16.39,5.46,0,0,2.19,0,0,0,27.32,0,1.09,0,0,1.09
108-118,0.77,0,6.89,1.53,0.77,224.43,0,0.77,16.09,0,0,0,0,0.77,1.53,0,9.19,0,0,0.77,448.09,9.19,4.6,0,0,3.06,0,0,0,15.32,2.3,0,3.06,0.77,0
120,0,0,3.92,0,0,211.66,0,1.96,15.68,3.92,0,1.96,1.96,1.96,0,1.96,21.56,0,0,1.96,433.11,3.92,1.96,0,0,1.96,0,0,0,21.56,0,0,3.92,0,0
