stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,500.76,7709.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0
  5-6,429.07,5835.41,12.26,0,0,0,0,0,0,12.26,0,0,0,0,0,0,171.63,12.26,0,0,61.3,153.24,0,0,0,0,0,0,0,0
  7-9,65.72,52.57,115.66,0,0,178.75,0,0,0,107.78,0,0,0,0,0,0,1721.81,44.69,0,0,701.87,5.26,18.4,0,0,0,0,0,0,0
 10-12,3.15,12.59,44.06,0,3.15,84.97,0,0,0,12.59,0,0,0,0,0,0,657.72,28.32,0,0,302.11,0,6.29,0,25.18,0,3.15,0,0,0
 14-21,0,0,4,90,22,46,0,3,5,2,1,1,0,28,0,28,344,19,0,7,5,6,1,71,6,6,82,101,2,0
 24-34,0,0,0,2.46,0.82,9.85,0.82,2.46,0,0,0,0,0.82,10.67,0,5.75,71.41,0.82,0,0,0,13.13,0,0,0,0,2.46,14.78,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,5.64,0.81,0.81,0,0,4.03,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,2.3,0,0,0,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
