stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,2,8,0,0,0,0,0
 24-34,1.64,0,4.93,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,14.78,0,0,0,0,0.82,0.82,4.93,0,0,1.64,0,3.28
 36-46,0.81,0.81,4.83,0,0,0,1.61,0,0,0,0,0,0,0,1.61,2.42,0.81,0,1.61,23.36,0,0.81,0,0,0,0,12.09,0,0,0,0,3.22
 48-58,0.57,0,10.9,0.57,0,0.57,1.72,0,0,0,0,0,0,0,2.87,2.87,0,0,1.72,48.2,0,0.57,1.15,0,0.57,0,9.18,0,0,0,0,1.72
 60-70,0,0,32.39,0,0.98,0.98,5.89,0,0.98,0,0,0.98,0,0,0,17.67,0,0,0,66.74,0,1.96,2.94,0,2.94,0,13.74,0,0,0.98,0,0.98
 72-82,3.93,10.8,63.81,0,0,0.98,8.83,0.98,0,0,0,2.94,1.96,0,2.94,37.3,0,0.98,1.96,90.31,0,5.89,0.98,0,3.93,0,10.8,0.98,0,0.98,0.98,0
 84-94,6.37,4.25,52.04,0,1.06,2.12,10.62,0,0,1.06,1.06,1.06,3.19,0,6.37,8.5,1.06,1.06,0,31.86,0,4.25,5.31,0,4.25,0,2.12,0,0,1.06,0,1.06
 96-106,0,10.93,55.74,2.19,1.09,0,9.84,1.09,0,3.28,0,6.56,0,1.09,4.37,30.6,0,1.09,1.09,55.74,1.09,2.19,6.56,0,6.56,0,2.19,0,2.19,1.09,0,2.19
108-118,7.66,9.96,52.09,0,3.83,0.77,5.36,2.3,0,0.77,0.77,11.49,0,0.77,9.96,19.15,0.77,0,1.53,54.38,0.77,2.3,3.06,0.77,4.6,0,1.53,0,3.06,1.53,1.53,3.83
120,3.92,3.92,56.83,1.96,0,1.96,5.88,0,0,1.96,0,0,0,0,1.96,11.76,1.96,1.96,1.96,90.15,0,1.96,0,0,1.96,0,3.92,0,1.96,1.96,0,3.92
