stage,erythrocytes,exocrine_pancreas,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,1.15,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,4.25,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,2.19,1.09,2.19,0,50.27,2.19,0,20.76,0,1.09,0,2.19,0,0,0,0,3.28
108-118,0,0.77,0.77,0.77,0,0,112.6,0,0,8.43,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,86.23,0,0,3.92,0,0,0,0,0,0,0,0,0
