stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,144.58,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,827.65,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,636,3,19,0,26,0,0,2,1,0,0,0,1,0,0,28,1,0,1,198,1,63,146,5,0,117,16,5,15,0,0,0,0,0
 24-34,0,0.82,222.45,0,3.28,0,75.52,2.46,2.46,0.82,0,0.82,1.64,0,9.85,0,0.82,177.3,4.1,0,2.46,73.88,0,103.43,60.74,0,0,306.18,0,0.82,9.85,0,0,1.64,0,0
 36-46,0,0.81,63.65,0,2.42,0,21.75,2.42,0,0.81,0,0,0,0,16.92,0.81,0.81,165.97,1.61,0,3.22,43.51,0.81,50.76,37.06,0,0,234.45,0,0,2.42,0,0,0,0,0
 48-58,0,0,32.13,0.57,9.18,0.57,23.53,1.72,2.87,0.57,0,0,1.15,0,16.64,0,0,283.46,1.72,1.72,17.21,41.31,0.57,28.69,21.8,0,0.57,154.93,0.57,0,2.3,0,0.57,0,0,1.72
 60-70,0,0,28.46,0,11.78,11.78,7.85,5.89,1.96,0,0,0,5.89,0,15.7,0,0,347.46,1.96,0,9.82,15.7,0,14.72,8.83,0,0,110.91,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,38.28,0,22.58,17.67,9.82,2.94,2.94,0,0,0,7.85,0.98,25.52,0,0,461.38,0,4.91,14.72,32.39,0,24.54,13.74,0.98,0,108.96,0,0,2.94,2.94,0,0,0,0
 84-94,0,0,53.1,1.06,33.99,25.49,16.99,2.12,5.31,2.12,0,1.06,12.74,1.06,29.74,0,0,374.9,0,1.06,12.74,8.5,0,31.86,6.37,0,0,368.53,0,0,2.12,6.37,0,1.06,0,0
 96-106,0,0,55.74,4.37,17.49,31.69,24.04,2.19,5.46,1.09,0,1.09,12.02,1.09,38.25,1.09,0,271.03,5.46,3.28,9.84,34.97,0,41.53,14.21,0,1.09,165.02,0,0,1.09,4.37,1.09,0,1.09,0
108-118,0,0,46.72,0,8.43,19.92,25.28,3.83,2.3,0,0,0,15.32,0,22.98,0,0,311.75,3.06,4.6,6.89,22.98,0,37.53,9.96,0,0,222.13,0,0,0.77,2.3,0,0,0,0.77
120,0,0,41.16,1.96,7.84,15.68,27.44,1.96,7.84,1.96,0,0,7.84,0,17.64,0,0,195.98,5.88,0,3.92,21.56,1.96,21.56,1.96,0,0,152.86,0,0,0,1.96,0,0,0,0
