stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0,186.64,10.51,0,0,73.6,0,5.26,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,3.15,25.18,0,0,12.59,0,0,0,0,0,0,0,0,0,141.61,3.15,0,0,72.38,0,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,5,0,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,4.93,0,0,3.28,36.94,0,0,0.82,0,0,0,0,0.82,0.82,5.75,0,1.64,0
 36-46,0,0,0,0.81,0,4.03,0.81,2.42,0,0,0,0,0,0,3.22,0,0.81,0.81,44.31,0.81,0,0,0,0,0,0,0,0,12.09,0,0,0
 48-58,0,0,0,0,0,8.61,0,2.3,0,0,0,0,0.57,0,3.44,0,0,0,29.26,0,0,0,0,0.57,0,0,0,0,10.33,0,0,0
 60-70,0,0,0,0.98,0,15.7,0,3.93,0,0,0,0,0,0,8.83,0,0,0,36.32,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98
 72-82,0,0,0,0,0,4.91,0.98,0.98,0,0,0,0,0,0,3.93,0,0,0,14.72,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,0,0,4.25,0,1.06,0,0,2.12,0,0,0,3.19,1.06,0,2.12,9.56,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,4.37,1.09,2.19,0,1.09,0,0,0,0,3.28,0,0,2.19,4.37,0,0,1.09,0,3.28,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0,2.3,0,3.06,0,0,1.53,0.77,0,0.77,3.83,0,0.77,0.77,7.66,0,0.77,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
