stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,25,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,3,0,0,3,235,1,0,0,1,0,0,0,0,0
 24-34,0,0,14.78,13.95,0,0,0.82,0,0.82,0,0.82,6.57,0,0,1.64,0.82,0.82,2.46,0,1.64,4.1,0,0.82,36.12,1.64,12.31,4.93,701.83,0,9.03,0.82,4.93,0,0,0.82,0,0
 36-46,0,0,3.22,4.83,0,0,5.64,0,3.22,0,3.22,8.06,0.81,0,0,0,0.81,6.45,0.81,4.83,2.42,0,0.81,33.03,0,8.86,3.22,610.7,0,4.03,0,7.25,0,0,0.81,0,0
 48-58,0,0,1.72,12.05,0,0,8.03,0,7.46,0,9.18,12.62,0.57,0,0.57,0.57,0,3.44,0,5.74,5.74,0,0.57,30.41,1.15,6.89,1.15,484.87,0,2.87,0,7.46,0,0,0,0,0
 60-70,0,0,0.98,33.37,0,0,10.8,0,8.83,0,25.52,16.69,0.98,0,1.96,0,0,6.87,0,4.91,2.94,0,0.98,42.21,0,9.82,0.98,510.39,0,4.91,0,4.91,4.91,0,0,0,0
 72-82,0,1.96,2.94,66.75,0,0,19.63,0,12.76,0.98,113.87,41.23,1.96,0,7.85,0,5.89,3.93,0,16.69,3.93,0,0,67.73,0,7.85,2.94,643.97,0,1.96,0,1.96,9.82,1.96,1.96,0,0.98
 84-94,0,2.12,6.37,117.89,1.06,1.06,10.62,0,30.8,0,82.84,77.53,0,1.06,13.81,0,0,15.93,0,7.43,9.56,1.06,1.06,54.16,0,35.05,2.12,1586.68,0,6.37,0,2.12,27.61,2.12,0,0,0
 96-106,0,1.09,5.46,196.71,1.09,1.09,26.23,1.09,32.79,1.09,106.01,75.41,0,2.19,24.04,0,3.28,9.84,0,16.39,17.49,0,2.19,72.13,0,34.97,2.19,1374.8,0,7.65,0,0,36.06,1.09,1.09,1.09,1.09
108-118,0,0,8.43,187.66,0,0.77,7.66,0,78.13,0,96.51,88.09,0,2.3,42.89,0.77,3.83,17.62,0,10.72,26.81,0.77,2.3,41.36,2.3,28.34,3.83,1290.65,0,4.6,0,1.53,58.98,1.53,2.3,0,0.77
120,0,1.96,1.96,127.39,0,0,7.84,0,39.2,1.96,76.43,56.83,1.96,1.96,15.68,3.92,1.96,13.72,0,11.76,17.64,0,1.96,45.08,0,13.72,0,836.83,0,5.88,0,0,17.64,3.92,0,0,0
