stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.16,8394.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0,0,0
  5-6,337.13,4615.62,0,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,122.59,24.52,0,0,85.81,0,122.59,0,0,0,0,0,0,0,0,0,0
  7-9,86.75,73.6,0,207.67,0,2.63,370.65,0,0,0,0,0,99.89,0,0,0,0,0,0,0,0,0,0,0,2839.01,126.18,0,0,1335.39,0,10.51,26.29,0,2.63,0,0,0,0,0,0,0
 10-12,0,84.97,0,119.58,0,12.59,195.11,0,0,0,0,0,37.76,0,0,0,0,0,3.15,0,0,0,0,0,2335.05,53.5,0,0,1060.53,0,0,12.59,12.59,113.29,6.29,12.59,0,0,0,0,0
 14-21,0,0,0,8,81,41,68,0,0,0,14,4,1,1,0,1,0,1,0,0,54,0,0,44,886,15,7,5,32,0,6,1,121,7,73,285,0,0,7,0,0
 24-34,0,0,0,0.82,33.66,9.85,302.08,0,0,1.64,24.63,1.64,0,0.82,2.46,3.28,1.64,2.46,3.28,0,175.66,0.82,0.82,59.1,1956.92,6.57,18.88,18.06,0,0,27.09,0,0.82,1.64,11.49,451.47,0,0,18.88,0,1.64
 36-46,0,0,0,0.81,8.06,12.89,617.95,0,0,1.61,28.2,0.81,0,1.61,1.61,0,4.03,2.42,1.61,0,125.68,0,4.03,35.45,1362.39,2.42,12.89,7.25,0,0,12.09,0,0,2.42,0,302.13,0,0,8.06,0,2.42
 48-58,0,0,0,0,16.07,26.97,912.92,0,0.57,1.72,47.05,0.57,0,3.44,3.44,0,2.3,2.3,2.3,0.57,176.73,0,5.16,35,731.6,1.72,2.87,5.16,0,0,5.74,0,0,1.15,0,129.11,0,0,6.31,0,2.87
 60-70,0,0,0,0,10.8,4.91,596.77,0.98,0,2.94,44.17,2.94,0,0,2.94,0,0.98,1.96,3.93,0,95.21,0,4.91,14.72,365.13,1.96,0.98,2.94,0,0,1.96,0,0,0,0,19.63,0,0,3.93,0,0.98
 72-82,0,0,0.98,0.98,14.72,2.94,259.16,0.98,0,0.98,51.05,4.91,0,2.94,5.89,2.94,0.98,0,0.98,0,115.84,0.98,5.89,23.56,270.94,0,6.87,4.91,0,0,1.96,0,0,0,0,8.83,0,0.98,6.87,0.98,0
 84-94,0,0,0,0,29.74,10.62,224.09,0,0,1.06,37.17,5.31,0,0,7.43,2.12,5.31,0,3.19,0,106.2,0,13.81,20.18,248.52,4.25,6.37,7.43,0,1.06,4.25,0,0,0,0,5.31,0,1.06,11.68,0,0
 96-106,0,0,0,0,10.93,9.84,144.26,0,0,0,33.88,9.84,0,3.28,10.93,1.09,0,3.28,1.09,0,43.71,2.19,2.19,12.02,167.21,1.09,3.28,8.74,0,0,7.65,0,0,1.09,0,3.28,0,0,10.93,1.09,0
108-118,0,0,0,0,11.49,17.62,154.72,0,0.77,0,32.17,0.77,0,0,7.66,0.77,5.36,0,1.53,0,43.66,0,2.3,9.19,219.83,0,5.36,6.13,0,0.77,5.36,0,0,0,0,2.3,0,0,5.36,0.77,0
120,0,0,0,0,3.92,13.72,129.35,0,0,1.96,27.44,3.92,0,1.96,5.88,1.96,1.96,1.96,1.96,0,35.28,0,0,13.72,156.78,1.96,3.92,5.88,0,0,0,0,0,0,0,3.92,1.96,0,9.8,0,0
