stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,1,0,0,0,53,0,0,0,0,0,0,0,4,0,0,0,30,3,0,25,4,3,0,36,0,3,141,0,0,0,0
 24-34,0,0,0,0,3.28,0,1.64,0,0,0.82,62.39,0,0,0,7.39,1.64,0,1.64,4.1,1.64,0,0.82,38.58,1.64,4.1,17.24,0,59.92,0,75.52,0,2.46,134.62,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,6.45,0,0.81,0,44.31,0,0,0,5.64,2.42,0,0,1.61,0,0,0.81,25.78,0,11.28,8.86,0,66.06,0,41.09,0,0,87.82,0,0,0.81,0
 48-58,0,0,0,0,0,0,21.23,0,1.15,0.57,53.94,0,0,0,0.57,6.89,0.57,0,2.3,0,0,0.57,23.53,0,9.18,8.61,0,49.92,0,16.07,0,0,80.91,0,0,0,0
 60-70,0,0,0.98,0,6.87,0,46.13,0,0,0,61.84,0,0,0,6.87,18.65,0,0,2.94,0.98,0,0,20.61,0.98,14.72,19.63,0,101.1,0,13.74,0,0,56.93,0.98,0,0,0
 72-82,0,0,2.94,0,7.85,0.98,47.12,0,1.96,0,60.86,1.96,0,0,3.93,33.38,0,0,6.87,1.96,0.98,0,24.54,0,23.56,42.21,0,52.03,0,6.87,0,0,29.45,0,0,3.93,0
 84-94,0,0,3.19,2.12,7.43,1.06,31.86,0,4.25,0,46.73,0,0,0,9.56,40.36,0,0,5.31,0,0,0,16.99,0,36.11,58.41,0,216.66,1.06,16.99,0,0,37.17,0,0,4.25,1.06
 96-106,0,0,0,2.19,29.51,3.28,32.79,0,1.09,0,41.53,7.65,0,2.19,19.67,85.24,0,0,5.46,3.28,0,0,27.32,0,74.31,68.85,0,103.82,0,27.32,1.09,0,25.14,0,0,1.09,2.19
108-118,0,0,1.53,3.06,29.87,0.77,24.51,0.77,3.06,0,26.81,4.6,0,0,14.55,49.79,2.3,0.77,7.66,0.77,0,1.53,22.98,0,45.96,52.85,0,132.51,0,14.55,0,0,24.51,0.77,0.77,0.77,0
120,0,0,1.96,0,45.08,3.92,25.48,0,3.92,0,19.6,3.92,0,1.96,11.76,48.99,0,0,5.88,0,0,1.96,33.32,3.92,50.95,76.43,0,117.59,0,11.76,0,0,11.76,0,1.96,3.92,1.96
