stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9,0,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,4,28,2,0,0,2,1,4,2,5,12,0,0,0,0,0
 24-34,0.82,2.46,0,11.49,0,0.82,0,1.64,0.82,0.82,0,0,0.82,0,0,0.82,10.67,0,5.75,66.49,0,0.82,0,0,4.1,0,0,1.64,31.19,0,0,1.64,0,0.82
 36-46,0,1.61,0,16.11,0.81,0,1.61,10.47,0,0.81,0,0,0.81,0.81,0,0,14.5,0,4.83,71.7,0,1.61,0,0,2.42,0,0,0,15.31,0,0,0.81,0,0
 48-58,0,1.15,0,18.36,0,0,1.15,21.8,1.15,0.57,0,0,0.57,0,0,0,29.26,0,4.02,59.1,0,0,0.57,0,1.15,0,0.57,0,25.25,0,0,1.72,0,0.57
 60-70,0,0.98,0,13.74,0,0,0.98,24.54,0,0,0,0,0,1.96,0,0,25.52,0.98,1.96,51.04,0,0.98,1.96,0,1.96,0,0,0,7.85,0,1.96,0,0.98,0
 72-82,0,0.98,0,14.72,0,0.98,0,15.71,0,1.96,1.96,0,0,0,0,0,30.43,0.98,1.96,39.27,0,0.98,1.96,0,0.98,0,0,0,3.93,0,0,1.96,0.98,0
 84-94,0,2.12,0,13.81,0,2.12,2.12,6.37,0,1.06,0,0,0,0,0,0,18.05,1.06,1.06,24.43,1.06,0,1.06,0,2.12,0,0,0,3.19,0,0,2.12,0,0
 96-106,0,0,1.09,7.65,0,1.09,1.09,5.46,1.09,1.09,2.19,0,1.09,0,0,0,14.21,1.09,8.74,13.11,2.19,0,2.19,0,6.56,0,0,0,1.09,1.09,1.09,3.28,2.19,2.19
108-118,0,1.53,0,3.06,0,1.53,0.77,3.83,0,0.77,1.53,0.77,0,1.53,0.77,0,12.26,3.06,3.83,26.81,0,0,2.3,0,1.53,0,0,0,0.77,0,0,3.83,0,0
120,0,5.88,0,9.8,1.96,0,1.96,1.96,0,3.92,0,1.96,0,0,1.96,0,25.48,1.96,0,23.52,0,0,1.96,0,1.96,0,0,0,0,0,0,3.92,0,0
