stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,1,3,1,0,2,4,0,1,0
 24-34,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0,0,4.1,0,0,0,0,2.46,0,0.82,18.06,0,2.46,0,0.82,3.28,0,0,0,0,4.93,0,0,0
 36-46,0,0,0,1.61,0,5.64,0.81,0,0.81,3.22,0,0,0,3.22,0,0,0,0,1.61,0.81,1.61,39.48,0.81,0,0,0,1.61,0,0.81,0.81,0,8.06,0,0,0.81
 48-58,0,0,0,0.57,0,6.89,1.15,0,0,3.44,0,0.57,0,0.57,0,0,0.57,0.57,3.44,0,0.57,37.87,0,0,0,0,0.57,0,0,0,0,5.16,0,1.15,0
 60-70,0,0,0,0,0,13.74,0,0,0,3.93,0,0,0,0,0,0,0,0.98,5.89,0,0,27.48,0,0.98,0,0,0.98,0,0,0,0,4.91,0.98,0,0
 72-82,0,0,0,0.98,1.96,5.89,0,0,0.98,3.93,0,0,0,1.96,0,0,0,0,2.94,0,0.98,15.71,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,2.12,0,7.43,0,0,0,3.19,1.06,0,0,6.37,0,0,0,0,5.31,0,1.06,7.43,0,1.06,0,0,5.31,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,1.09,4.37,0,0,2.19,8.74,0,0,0,1.09,8.74,0,0,6.56,0,0,0,0,6.56,0,0,0,0,0,3.28,1.09,0
108-118,0,0,0,2.3,0.77,2.3,0,0,0,1.53,0,0,0,6.89,0.77,0.77,0,0,1.53,0,0.77,5.36,0,0,0,0,0.77,0,0.77,0,0,0,1.53,1.53,0
120,0,0,0,3.92,0,1.96,0,0,0,1.96,0,0,0,9.8,0,0,0,0,3.92,0,0,11.76,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0
