stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,1.64,0,0,0,0.82,0.82,0,0,0.82,0,0,0,27.09,0.82,0,0,0,0,3.28,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0.81,0,0,4.83,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,83.79,0,0,0,0,0,1.61,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,1.72,0,0,9.75,0,0,0,2.3,0,0,0,0,0,0,0,4.59,0,0,0.57,86.07,0.57,0.57,0,0,0.57,1.72,0,0,0,0.57,0,6.89,0,0,0,0.57
 60-70,0,0.98,4.91,0,0,27.48,0,0,0,2.94,4.91,0,0.98,0,0,0,0,5.89,0.98,0,0,108.95,0,0,0,0,0,0,0,0,0,0,0,10.8,0.98,0,0,0
 72-82,0,9.82,8.83,0.98,0,28.47,0,0,0,7.85,22.58,0.98,0.98,0.98,0,0,0,8.83,0,0,0,145.29,0,0,0,0,0,0,0,0,0,0,0,4.91,0.98,0,0,0
 84-94,0,3.19,14.87,1.06,0,28.68,0,0,1.06,6.37,38.23,0,0,0,1.06,0,0,5.31,0,0,0,117.89,0,1.06,0,0,0,3.19,0,0,0,1.06,0,3.19,2.12,0,1.06,1.06
 96-106,0,10.93,9.84,0,0,36.06,1.09,1.09,0,10.93,161.74,0,0,0,0,1.09,2.19,9.84,1.09,1.09,2.19,87.43,1.09,1.09,1.09,0,1.09,2.19,1.09,0,2.19,0,0,5.46,1.09,1.09,0,1.09
108-118,0,7.66,6.89,0,1.53,23.74,0,0,0.77,6.13,245.87,0,0,0,0.77,0,4.6,8.43,0.77,0,0.77,140.17,0,0.77,0.77,0,1.53,2.3,0,0,0,0,0,3.06,2.3,0,0,0.77
120,0,5.88,9.8,3.92,0,23.52,0,0,0,11.76,178.34,1.96,3.92,0,0,0,1.96,5.88,0,0,1.96,135.23,0,0,3.92,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0
