stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0.82,9.85,0,0,0,0,4.1,0,0.82,0,0
 36-46,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,0,0,0,6.45,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,3.44,0,0,0,0,0,0,0,2.3,0,0,0.57,4.59,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,2.94,0,0.98,0,0,0,0,0,2.94,0,1.96,0.98,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,2.94,0,0,0,0,0,1.96,0,0,0,6.87,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,2.19,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0.77,2.3,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,1.96,0,0,1.96,1.96,0,0,5.88,0,0,0,0,0,0,0,1.96,0
