stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,25.18,0,6.29,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,393,1,0,0,1,5,0,6,13,0,0,0,0,9,0,0,5,12,1,0,0,9,0,1,1,9,18,1,7,8,0,0,100,0,0
 24-34,0,0,0,0.82,44.33,3.28,0,2.46,2.46,0.82,0,17.24,35.3,1.64,1.64,0,0,21.34,0,0,6.57,43.51,0,0,0,0,0,2.46,0,0,1.64,0,6.57,5.75,0,0,332.45,0,0
 36-46,0,0,0,1.61,2.42,2.42,0,3.22,0.81,0,0,11.28,29.81,0,0.81,0,0.81,12.89,0.81,0,0,32.23,0,0,0,0,0,2.42,0.81,0,0,0,0,3.22,0,0,215.11,0,0
 48-58,0.57,0,0,2.87,2.3,5.74,0.57,2.3,0.57,0,0,23.53,42.46,0,0,0,0,20.66,0.57,1.15,1.72,19.51,0,0.57,0,0,0,1.72,0,0,0,0,0,1.72,0,0.57,192.22,0,1.15
 60-70,0,0,0,2.94,5.89,1.96,0,2.94,2.94,0.98,0,25.52,40.24,0,0,0,0,34.35,0,0.98,0.98,16.69,0,0.98,0,0,0,0.98,0,0,2.94,0,0,0.98,0.98,0.98,158.03,2.94,0
 72-82,0,0,0,3.93,7.85,8.83,0,0.98,0.98,5.89,0,30.43,83.44,1.96,0,0,0.98,40.25,0,1.96,3.93,27.49,0,0,0,0,1.96,0.98,0,0,0,0,0,0,1.96,0.98,303.33,3.93,0.98
 84-94,0,0,0,7.43,2.12,5.31,0,2.12,3.19,1.06,0,14.87,70.09,0,0,2.12,0,25.49,0,1.06,3.19,10.62,0,0,1.06,0,2.12,1.06,0,0,0,0,0,2.12,3.19,2.12,271.88,1.06,0
 96-106,0,0,0,16.39,8.74,9.84,0,1.09,9.84,0,0,34.97,103.82,0,0,0,1.09,21.86,0,1.09,0,13.11,0,0,1.09,0,4.37,12.02,1.09,0,2.19,0,0,1.09,7.65,0,307.09,1.09,0
108-118,0,0,0,14.55,3.83,3.83,0.77,2.3,3.06,1.53,0,13.02,81.96,2.3,0,0,1.53,19.92,0,0,0,9.96,0,1.53,0.77,0,1.53,5.36,0,0,1.53,0,0,0.77,11.49,0,245.87,0.77,0
120,0,0,0,19.6,7.84,5.88,1.96,0,0,0,0,17.64,78.39,0,0,0,0,13.72,0,1.96,0,19.6,0,1.96,0,0,0,9.8,0,0,0,0,0,0,1.96,0,221.46,0,0
