stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,0,0,0,0,0,5,2,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,4,0,0
 24-34,0,0,1.64,0.82,2.46,0.82,0,0,0,0,10.67,2.46,0,0,4.1,0,1.64,14.78,0,0,0,0,0,0.82,0.82,4.93,0,0,0,45.97,0,0
 36-46,0,0,0.81,1.61,2.42,0.81,0,0,0.81,0,9.67,0.81,0,0,7.25,0.81,0.81,9.67,0,0,0,2.42,0,0,0.81,0,0.81,0,0,28.2,0,0
 48-58,0,0,1.15,0.57,4.02,3.44,0,0,0.57,0,6.31,1.15,0,0,10.9,0,0.57,11.48,0,0,0,0.57,0,0,0.57,0,1.15,0,0.57,18.94,0,0.57
 60-70,0,0,0,1.96,2.94,0.98,0,0,0.98,0,3.93,0,0.98,0,28.46,0,0.98,6.87,0,0,0,0,0,0.98,0.98,0,0,0,0,15.7,6.87,0
 72-82,0,0,0.98,6.87,9.82,0,0,0.98,4.91,0,13.74,4.91,0,0,51.05,5.89,0.98,31.41,0,0,0,0,0,0,0.98,0,1.96,0,14.72,37.3,41.23,0
 84-94,0,0,1.06,1.06,11.68,0,0,1.06,1.06,0,11.68,5.31,3.19,0,48.85,6.37,0,19.12,0,0,0,0,0,0,0,0,0,1.06,11.68,32.92,61.6,0
 96-106,0,0,3.28,6.56,9.84,1.09,0,0,1.09,1.09,10.93,4.37,0,1.09,89.61,12.02,6.56,28.41,0,0,4.37,3.28,0,0,0,0,0,1.09,18.58,39.34,85.24,0
108-118,0.77,0,0.77,1.53,7.66,0,0,0,4.6,0.77,7.66,7.66,0.77,0.77,72,13.79,2.3,17.62,0.77,0,4.6,2.3,0,0,0,0,0.77,0,15.32,46.72,46.72,0
120,0,0,0,5.88,0,0,1.96,0,0,0,7.84,5.88,0,0,62.71,3.92,3.92,31.36,0,0,0,5.88,0,0,0,0,0,0,17.64,39.2,64.67,0
