stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,49.95,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,3.15,0,0,0,0,18.88,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,1,0,0,1,0,2,6,0,0,1,1,1,2,5,0,0
 24-34,0,0,0,0,0.82,0.82,6.57,0,0.82,0,0,3.28,0,0,31.19,0,0,0,0.82,0,0,6.57,0,5.75
 36-46,0,0,0,0,0,0,7.25,0.81,2.42,0,0,2.42,0,0,30.62,0,0,0,1.61,0,0,8.06,0,0.81
 48-58,0,0,0,0,0.57,0.57,6.89,0.57,2.3,0,0.57,3.44,0,0,12.05,0,0,0,0.57,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,8.83,0,4.91,0.98,0.98,1.96,0,0.98,9.82,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,0,4.91,0,2.94,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.25,0,0,0,0,1.06,1.06,0,3.19,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,1.09,2.19,0,0,4.37,2.19,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0,0.77,1.53,0,4.6,0,2.3,0,0,0.77,0,0,2.3,0,0.77,0,0.77,0,0,0,0,1.53
120,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0
