stage,erythrocytes,eye,fin_epithelia,glial,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,3,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,9.03,0,0,3.28,0,0,0
 36-46,0,0.81,0,0,2.42,20.14,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,1.72,18.94,0,0,4.02,0,0,0
 60-70,0,6.87,0,0.98,7.85,30.43,0,0,2.94,0,0,0.98
 72-82,0.98,0.98,0,0.98,4.91,32.39,0.98,0,1.96,0,0,0
 84-94,0,5.31,0,1.06,4.25,16.99,0,0,3.19,0,0,0
 96-106,0,4.37,0,1.09,7.65,6.56,0,0,1.09,0,0,0
108-118,0,2.3,0,0,0.77,10.72,0,0,0.77,0.77,0,0
120,0,1.96,1.96,1.96,0,9.8,0,0,0,0,1.96,0
