stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mucous,mural_cell,muscle,neural,spinal_cord,xanthophores
 14-21,7,0,0,0,0,1,0,0,7,1,1,0
 24-34,38.58,0.82,0,2.46,0,24.63,0.82,0,57.46,4.1,2.46,0
 36-46,11.28,0,2.42,7.25,0,87.01,0,0,47.53,2.42,0.81,0.81
 48-58,4.02,1.72,0,4.59,0,56.81,0,0,17.21,1.15,1.72,0
 60-70,0.98,0.98,0,0.98,0,21.59,0,0,12.76,1.96,0,0
 72-82,0.98,0,0,0.98,0.98,30.43,0,0.98,9.82,0.98,0,0
 84-94,0,1.06,0,2.12,0,31.86,0,1.06,10.62,1.06,1.06,0
 96-106,0,1.09,0,0,0,15.3,0,0,2.19,0,0,0
108-118,0,0,0,0.77,0,20.68,0,0,1.53,0.77,0,0
120,0,0,0,0,0,23.52,0,0,0,0,0,0
