stage,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,neural,periderm,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,23.8,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,2.42,41.89,0,0,0
 48-58,0.57,0,1.15,0,0,0,0,0,0,0,0.57,24.67,0,0,0
 60-70,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0.98,46.13,0,0,0
 72-82,3.93,0,0,0,0,0,0,0,0,0,1.96,54.97,0,0,0
 84-94,11.68,0,4.25,0,0,0,0,2.12,0,0,1.06,135.94,0,0,0
 96-106,27.32,1.09,4.37,0,0,0,0,1.09,0,2.19,2.19,296.16,1.09,0,1.09
108-118,32.17,0.77,9.19,0.77,0.77,0,0.77,5.36,0.77,4.6,3.83,322.47,3.06,0.77,0
120,7.84,0,1.96,0,0,0,0,3.92,0,1.96,7.84,184.22,1.96,0,0
