stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,3,1,0,0
 24-34,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,3.28,0,0,7.39,0,0,0,0,0,0.82,0.82,3.28,3.28,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0.81,0,0.81,11.28,0.81,0.81,0,0,0,0,0,2.42,0,0
 48-58,0,0,0.57,0,0,0.57,2.87,0,0,1.15,0,0.57,0,0,0.57,0.57,0,0,0.57,0,0,9.18,0,0.57,0,0,0,0.57,0,1.15,1.15,0.57
 60-70,0,0,0,0,0.98,0.98,6.87,0,0,0,0,0,0,0.98,0,0,0,0,2.94,0,1.96,9.82,0,0,0.98,0,0,0.98,0,3.93,0,0.98
 72-82,0,0,0,0,0.98,0.98,1.96,0,0,4.91,0,0,0,0,0,0,0,0,7.85,0.98,0,11.78,0,0,0.98,0,0.98,0.98,0,0.98,4.91,0
 84-94,0,0,0,0,1.06,1.06,5.31,0,0,1.06,0,0,2.12,0,0,0,0,0,5.31,0,1.06,3.19,1.06,0,1.06,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,6.56,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,2.19,0,0,2.19,1.09
108-118,0,0,0,0,1.53,0.77,5.36,2.3,0,2.3,1.53,0,0,0,0,0,0.77,1.53,2.3,0,0.77,4.6,0,0.77,0,0,0,1.53,0,0,2.3,0
120,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,5.88,0,0,1.96,0,0,0,0,0,1.96,0
